;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/artificial_spawner;Artificial BioAnomaly;;Искусственная био-аномалия;;;;;;;
gui/hud/building_description/artificial_spawner;Artificial BioAnomaly generates a signal that attracts Galatean creatures.;;Искусственная био-аномалия генерирует сигнал, привлекающий галатеанских существ.;;;;;;;
;;;;;;;;;;
entities/items/artificial_spawner_waves/name/acid_standard;Acidic Plains;Kwasowa Równina;Кислотные поля;Plaines acides;Säurehaltige Ebenen;Llanuras ácidas;Planícies Ácidas;酸性平原;酸性の平原;산성 지대
entities/items/artificial_spawner_waves/name/acid_advanced;Acidic Plains;Kwasowa Równina;Кислотные поля;Plaines acides;Säurehaltige Ebenen;Llanuras ácidas;Planícies Ácidas;酸性平原;酸性の平原;산성 지대
entities/items/artificial_spawner_waves/name/acid_superior;Acidic Plains;Kwasowa Równina;Кислотные поля;Plaines acides;Säurehaltige Ebenen;Llanuras ácidas;Planícies Ácidas;酸性平原;酸性の平原;산성 지대
entities/items/artificial_spawner_waves/name/acid_extreme;Acidic Plains;Kwasowa Równina;Кислотные поля;Plaines acides;Säurehaltige Ebenen;Llanuras ácidas;Planícies Ácidas;酸性平原;酸性の平原;산성 지대
;;;;;;;;;;
entities/items/artificial_spawner_waves/description/acid_standard;Acidic Plains – Standard;Kwasowa Równina – Standardowa;Кислотные поля – Стандартно;Plaines acides – Niveau standard;Säurehaltige Ebenen – Standard;Llanuras ácidas – Estándar;Planícies Ácidas – Padrão;酸性平原 – 标准;酸性の平原 – ベーシック;산성 지대 – 기본
entities/items/artificial_spawner_waves/description/acid_advanced;Acidic Plains – Advanced;Kwasowa Równina – Zaawansowana;Кислотные поля – Улучшено;Plaines acides – Niveau avancé;Säurehaltige Ebenen – Fortgeschritten;Llanuras ácidas - Avanzada;Planícies Ácidas – Avançada;酸性平原 – 中级;酸性の平原 – アドバンス;산성 지대 – 고급
entities/items/artificial_spawner_waves/description/acid_superior;Acidic Plains – Superior;Kwasowa Równina – Świetna;Кислотные поля – Превосходно;Plaines acides – Niveau supérieur;Säurehaltige Ebenen – Außergewöhnlich;Llanuras ácidas – Superior;Planícies Ácidas – Superior;酸性平原 – 高级;酸性の平原 – エピック;산성 지대 – 탁월
