;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/tower_drone_attack_drone_point_picker_tool;Move Attack Drone Tower Drone Area Tool;;Инструмент перемещения области действия дронов Башни с атакующими дронами;;;;;;攻撃ドローンタワーワークエリア移動ツール;
gui/hud/building_description/tower_drone_attack_drone_point_picker_tool;This tool allows you to move the drone area of buildings. Click on a building or center point - add or remove a building from the list. Mouse wheel down - move the drone area of buildings from the list. Mouse wheel up - clears the list of selected buildings.;;Этот инструмент позволяет переместить область действия дронов зданий. Клик на башне - добавление и удаление здания из списка. Движение колесом мышки вниз - перемещение области дейстия выделенных зданий. Движение колесом мышки вверх - очистка списка выделенных зданий.;;;;;;このツールを使用すると、Lv 1 以上の建物のドローンワークエリアを移動できます。建物または中心点をクリックすると、建物の選択と解除ができます。建物をを選択し、赤色表示になった後、カーソルでドローンワークエリア中心点を決め、マウスホイールを下に移動するとドローンワークエリアを移動できます。マウスホイールを上に移動すると選択した建物を解除できます;
;;;;;;;;;;
entities/items/tower_attack_drones/name/drone_attack_acid;Acid Drone;Dron Kwaśny;Кислотный Дрон;Drone acide;Säuredrohne;Dron ácido;Drone Ácido;;アシッドドローン;
;;;;;;;;;;
entities/items/tower_attack_drones/name/drone_attack_area;Rocket Drone;Dron rakietowy;Ракетный дрон;Drone à roquettes;Raketendrohne;Dron cohete;Drone de mísseis;;ロケットドローン;
;;;;;;;;;;
entities/items/tower_attack_drones/name/drone_attack_cryogenic;Cryogenic Drone;Dron Kriogeniczny;Криогенный Дрон;Drone cryogénique;Kryogene Drohne;Dron criogénico;Drone Criogênico;;フリーズドローン;
;;;;;;;;;;
entities/items/tower_attack_drones/name/drone_attack_energy;Energy Drone;Dron Energetyczny;Энергетический Дрон;Drone d'énergie;Energiedrohne;Dron de energía;Drone de energia;;エナジードローン;
;;;;;;;;;;
entities/items/tower_attack_drones/name/drone_attack_fire;Incendiary Drone;Dron Zapalający;Зажигательный Дрон;Drone incendiaire;Branddrohne;Dron incendiario;Drone Incendiário;;ナパームドローン;
;;;;;;;;;;
entities/items/tower_attack_drones/name/drone_attack_physical;Attack Drone;Dron Bojowy;Атакующий дрон;Drone d'attaque;Angriffsdrohne;Dron de ataque;Drone de ataque;攻击无人机;アタックドローン;공격 드론
;;;;;;;;;;
