;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/attack_floor_acid;Acid Attack Floor;;Кислотный атакующий пол;;;;;;;
gui/hud/building_description/attack_floor_acid;This tool allows you to build diagonal walls.;;Этот инструмент позволяет строить диагональные стены.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/attack_floor_area;Explosive Attack Floor;;Взрывной атакующий пол;;;;;;;
gui/hud/building_description/attack_floor_area;This tool allows you to build diagonal walls.;;Этот инструмент позволяет строить диагональные стены.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/attack_floor_cryo;Cryo Attack Floor;;Замораживающий атакующий пол;;;;;;;
gui/hud/building_description/attack_floor_cryo;This tool allows you to build diagonal walls.;;Этот инструмент позволяет строить диагональные стены.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/attack_floor_energy;Energy Attack Floor;;Энергетический атакующий пол;;;;;;;
gui/hud/building_description/attack_floor_energy;This tool allows you to build diagonal walls.;;Этот инструмент позволяет строить диагональные стены.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/attack_floor_fire;Fire Attack Floor;;Огненный атакующий пол;;;;;;;
gui/hud/building_description/attack_floor_fire;This tool allows you to build diagonal walls.;;Этот инструмент позволяет строить диагональные стены.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/attack_floor_physical;Sharp Attack Floor;;Острый атакующий пол;;;;;;;
gui/hud/building_description/attack_floor_physical;This tool allows you to build diagonal walls.;;Этот инструмент позволяет строить диагональные стены.;;;;;;;
;;;;;;;;;;
