;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/spawner_activate;Activate BioAnomaly Tool;;Инструмент активации био-аномалий;;;;;;;
gui/hud/building_description/spawner_activate;This tool allows you to activate selected BioAnomalies.;;Этот инструмент позволяет активировать выбранные био-аномалии.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawner_activate_all_map;Activate All BioAnomalies Tool;;Инструмент активации всех био-аномалий;;;;;;;
gui/hud/building_description/spawner_activate_all_map;This tool allows you to activate All BioAnomalies.;;Этот инструмент позволяет активировать все био-аномалии на карте.;;;;;;;
;;;;;;;;;;
gui/hud/spawner_activate_tools/activate_all_spawners;Activate All BioAnomalies?;;Активировать все био-аномалии?;;;;;;;
;;;;;;;;;;
gui/vote/spawner_activate_tools/activate_all_bioanomalies;Activate All BioAnomalies?;;Активировать все био-аномалии?;;;;;;;
gui/vote/spawner_activate_tools/activating;Activating...;;Активация...;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawner_respawn;Respawn BioAnomaly Tool;;Инструмент возрождения био-аномалий;;;;;;;
gui/hud/building_description/spawner_respawn;This tool allows you to respawn selected BioAnomalies.;;Этот инструмент позволяет возродить выбранные био-аномалии.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawner_respawn_all_map;Activate All BioAnomalies Tool;;Инструмент активации всех био-аномалий;;;;;;;
gui/hud/building_description/spawner_respawn_all_map;This tool allows you to respawn All BioAnomalies.;;Этот инструмент позволяет возродить все био-аномалии на карте.;;;;;;;
;;;;;;;;;;
gui/hud/spawner_activate_tools/respawn_all_spawners;Respawn All BioAnomalies?;;Возродить все био-аномалии?;;;;;;;
;;;;;;;;;;
