;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/building_search_select_tool;Buildings Mark Tool;;Инструмент выделения зданий;;;;;建筑工具-进行标记;;
gui/hud/building_description/building_search_select_tool;This tool allows Mr. Riggs to mark building on the map.;;Этот инструмент позволяет мистеру Ригзу выделять здания на карте.;;;;;这个工具用来标记建筑物,并在地图上显示.;;
;;;;;;;;;;
gui/hud/building_name/building_search_clear_tool;Buildings Unmark Tool;;Инструмент снятия выделения со зданий;;;;;建筑工具-取消标记;;
gui/hud/building_description/building_search_clear_tool;This tool allows Mr. Riggs to unmark building on the map.;;Этот инструмент позволяет мистеру Ригзу снимать выделение со зданий на карте.;;;;;这个工具用来取消标记,并取消在地图上显示.;;
;;;;;;;;;;
gui/hud/building_search/select_building;Select Building to Mark;;Выберите здание для выделения;;;;;标记选定的建筑物;;
gui/hud/building_search/select_building_group;Select Building Group to Mark;;Выберите Группу зданий для выделения;;;;;标记选定的同组建筑物;;
gui/hud/building_search/select_building_category;Select Building Category to Mark;;Выберите Категорию зданий для выделения;;;;;标记选定的同类别建筑物;;
gui/hud/building_search/select_building_ruins;Mark All Ruins;;Выделить все руины;;;;;;;
;;;;;;;;;;
gui/hud/building_search/mark_buildings;Mark:;;Выделить:;;;;;进行标记;;
gui/hud/building_search/clear_mark_buildings;Unmark:;;Снять выделение:;;;;;取消标记;;
;;;;;;;;;;
gui/hud/building_search/clear_all;Unmark All Buildings;;Снять выделение со всех зданий;;;;;取消所有建筑物的标记;;
gui/hud/building_search/clear_building;Select Building to Unmark;;Выберите здание для снятия выделения;;;;;取消标记选定的建筑物;;
gui/hud/building_search/clear_building_group;Select Building Group to Unmark;;Выберите Группу зданий для снятия выделения;;;;;取消标记选定的同组建筑物;;
gui/hud/building_search/clear_building_category;Select Building Category to Unmark;;Выберите Категорию зданий для снятия выделения;;;;;取消标记选定的同类别建筑物;;
gui/hud/building_search/clear_building_ruins;Unmark All Ruins;;Снять выделение со всех руин;;;;;;;
