;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/buildings_picker_01_tool;buildings_picker_01_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_02_tool;buildings_picker_02_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_03_tool;buildings_picker_03_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_04_tool;buildings_picker_04_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_05_tool;buildings_picker_05_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_06_tool;buildings_picker_06_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_07_tool;buildings_picker_07_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_08_tool;buildings_picker_08_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_09_tool;buildings_picker_09_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_10_tool;buildings_picker_10_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_picker_11_tool;buildings_picker_11_tool;;Получить;;;;;;;
gui/hud/building_description/buildings_picker_01_tool;buildings_picker_01_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_02_tool;buildings_picker_02_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_03_tool;buildings_picker_03_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_04_tool;buildings_picker_04_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_05_tool;buildings_picker_05_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_06_tool;buildings_picker_06_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_07_tool;buildings_picker_07_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_08_tool;buildings_picker_08_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_09_tool;buildings_picker_09_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_10_tool;buildings_picker_10_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_picker_11_tool;buildings_picker_11_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_name/buildings_saver_01_tool;buildings_saver_01_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_02_tool;buildings_saver_02_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_03_tool;buildings_saver_03_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_04_tool;buildings_saver_04_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_05_tool;buildings_saver_05_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_06_tool;buildings_saver_06_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_07_tool;buildings_saver_07_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_08_tool;buildings_saver_08_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_09_tool;buildings_saver_09_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_10_tool;buildings_saver_10_tool;;Получить;;;;;;;
gui/hud/building_name/buildings_saver_11_tool;buildings_saver_11_tool;;Получить;;;;;;;
gui/hud/building_description/buildings_saver_01_tool;buildings_saver_01_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_02_tool;buildings_saver_02_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_03_tool;buildings_saver_03_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_04_tool;buildings_saver_04_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_05_tool;buildings_saver_05_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_06_tool;buildings_saver_06_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_07_tool;buildings_saver_07_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_08_tool;buildings_saver_08_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_09_tool;buildings_saver_09_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_10_tool;buildings_saver_10_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/building_description/buildings_saver_11_tool;buildings_saver_11_tool;;Этот инструмент позволяет ;;;;;;;
gui/hud/messages/buildings_picker_tool/empty_template;Empty Template;;Пустой шаблон;;;;;;;
