;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_description/tower_drone_attack_drone_point_picker_tool;This tool allows you to move the drone area of buildings. Click on a building or center point - add or remove a building from the list. Mouse wheel up - move the drone area of buildings from the list. Mouse wheel down - clears the list of selected buildings.;;Этот инструмент позволяет переместить область действия дронов зданий. Клик на башне - добавление и удаление здания из списка. Движение колесом мышки вниз - перемещение области дейстия выделенных зданий. Движение колесом мышки вверх - очистка списка выделенных зданий.;;;;;;このツールを使用すると、建物のドローンワークエリアを移動できます。建物または中心点をクリックすると、選択と解除ができます。建物をを選択し、赤色表示になった後、カーソルでドローンワークエリア中心点を決め、マウスホイールを上に移動するとドローンワークエリアを移動できます。マウスホイールを下に移動すると選択した建物を解除できます;
;;;;;;;;;;
gui/hud/building_description/tower_mine_drone_point_picker_tool;This tool allows you to move the drone area of buildings. Click on a building or center point - add or remove a building from the list. Mouse wheel up - move the drone area of buildings from the list. Mouse wheel down - clears the list of selected buildings.;;Этот инструмент позволяет переместить область действия дронов зданий. Клик на башне - добавление и удаление здания из списка. Движение колесом мышки вниз - перемещение области дейстия выделенных зданий. Движение колесом мышки вверх - очистка списка выделенных зданий.;;;;;;このツールを使用すると、建物のドローンワークエリアを移動できます。建物または中心点をクリックすると、選択と解除ができます。建物をを選択し、赤色表示になった後、カーソルでドローンワークエリア中心点を決め、マウスホイールを上に移動するとドローンワークエリアを移動できます。マウスホイールを下に移動すると選択した建物を解除できます;
;;;;;;;;;;
gui/hud/building_description/drone_mine_drone_point_picker_tool;This tool allows you to move the drone area of buildings. Click on a building or center point - add or remove a building from the list. Mouse wheel up - move the drone area of buildings from the list. Mouse wheel down - clears the list of selected buildings.;;Этот инструмент позволяет переместить область действия дронов зданий. Клик на башне - добавление и удаление здания из списка. Движение колесом мышки вниз - перемещение области дейстия выделенных зданий. Движение колесом мышки вверх - очистка списка выделенных зданий.;;;;;;このツールを使用すると、建物のドローンワークエリアを移動できます。建物または中心点をクリックすると、選択と解除ができます。建物をを選択し、赤色表示になった後、カーソルでドローンワークエリア中心点を決め、マウスホイールを上に移動するとドローンワークエリアを移動できます。マウスホイールを下に移動すると選択した建物を解除できます;
;;;;;;;;;;
gui/hud/building_description/flora_collector_drone_point_picker_tool;This tool allows you to move the drone area of buildings. Click on a building or center point - add or remove a building from the list. Mouse wheel up - move the drone area of buildings from the list. Mouse wheel down - clears the list of selected buildings.;;Этот инструмент позволяет переместить область действия дронов зданий. Клик на башне - добавление и удаление здания из списка. Движение колесом мышки вниз - перемещение области дейстия выделенных зданий. Движение колесом мышки вверх - очистка списка выделенных зданий.;;;;;;このツールを使用すると、建物のドローンワークエリアを移動できます。建物または中心点をクリックすると、選択と解除ができます。建物をを選択し、赤色表示になった後、カーソルでドローンワークエリア中心点を決め、マウスホイールを上に移動するとドローンワークエリアを移動できます。マウスホイールを下に移動すると選択した建物を解除できます;
;;;;;;;;;;
gui/hud/building_description/flora_cultivator_drone_point_picker_tool;This tool allows you to move the drone area of buildings. Click on a building or center point - add or remove a building from the list. Mouse wheel up - move the drone area of buildings from the list. Mouse wheel down - clears the list of selected buildings.;;Этот инструмент позволяет переместить область действия дронов зданий. Клик на башне - добавление и удаление здания из списка. Движение колесом мышки вниз - перемещение области дейстия выделенных зданий. Движение колесом мышки вверх - очистка списка выделенных зданий.;;;;;;このツールを使用すると、建物のドローンワークエリアを移動できます。建物または中心点をクリックすると、選択と解除ができます。建物をを選択し、赤色表示になった後、カーソルでドローンワークエリア中心点を決め、マウスホイールを上に移動するとドローンワークエリアを移動できます。マウスホイールを下に移動すると選択した建物を解除できます;
;;;;;;;;;;
