;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
gui/menu/inventory/skill_name/automatic_mining_1;Mine Trail 1;;Минный след 1;;;;;;;
gui/menu/inventory/skill_description/automatic_mining_1;Skill allows you to leave a Mine trail depending on the settings.;;Навык позволяет оставлять след из мин в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/automatic_mining_2;Mine Trail 2;;Минный след 2;;;;;;;
gui/menu/inventory/skill_description/automatic_mining_2;Skill allows you to leave a Mine trail depending on the settings.;;Навык позволяет оставлять след из мин в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/automatic_mining_3;Mine Trail 3;;Минный след 3;;;;;;;
gui/menu/inventory/skill_description/automatic_mining_3;Skill allows you to leave a Mine trail depending on the settings.;;Навык позволяет оставлять след из мин в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/automatic_mining_panel_1a;Mine Trail Configuration Panel 1-1;;Панель настройки Минный след 1-1;;;;;;;
gui/hud/building_description/automatic_mining_panel_1a;Allows you to configure the skill Mine Trail 1 part 1.;;Позволяет настраивать скилл Минный след 1 часть 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/automatic_mining_panel_1b;Mine Trail Configuration Panel 1-2;;Панель настройки Минный след 1-2;;;;;;;
gui/hud/building_description/automatic_mining_panel_1b;Allows you to configure the skill Mine Trail 1 part 2.;;Позволяет настраивать скилл Минный след 1 часть 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/automatic_mining_panel_2a;Mine Trail Configuration Panel 2-1;;Панель настройки Минный след 2-1;;;;;;;
gui/hud/building_description/automatic_mining_panel_2a;Allows you to configure the skill Mine Trail 2 part 1.;;Позволяет настраивать скилл Минный след 2 часть 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/automatic_mining_panel_2b;Mine Trail Configuration Panel 2-2;;Панель настройки Минный след 2-2;;;;;;;
gui/hud/building_description/automatic_mining_panel_2b;Allows you to configure the skill Mine Trail 2 part 2.;;Позволяет настраивать скилл Минный след 2 часть 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/automatic_mining_panel_3a;Mine Trail Configuration Panel 3-1;;Панель настройки Минный след 3-1;;;;;;;
gui/hud/building_description/automatic_mining_panel_3a;Allows you to configure the skill Mine Trail 3 part 1.;;Позволяет настраивать скилл Минный след 3 часть 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/automatic_mining_panel_3b;Mine Trail Configuration Panel 3-2;;Панель настройки Минный след 3-2;;;;;;;
gui/hud/building_description/automatic_mining_panel_3b;Allows you to configure the skill Mine Trail 3 part 2.;;Позволяет настраивать скилл Минный след 3 часть 2.;;;;;;;
;;;;;;;;;;
entities/items/automatic_mining_mods/name/proximity_mine;Small Mine;Mała Mina;Малая мина;Petite mine;Kleine Mine;Mina pequeña;Mina Pequena;小型地雷 ;スモールマイン;소형 지뢰
;;;;;;;;;;
entities/items/automatic_mining_mods/name/proximity_mine_cryogenic;Cryogenic Mine;Mina Kriogeniczna;Криогенная мина;Mine cryogénique;Kryogene Mine;Mina criogénica;Mina Criogênica;冷冻地雷;フリーズマイン;극저온 지뢰
;;;;;;;;;;
entities/items/automatic_mining_mods/name/proximity_mine_gravity;Gravity Mine;Mina Grawitacyjna;Гравитационная мина;Mine gravitationnelle;Gravitationsmine;Mina de gravedad;Mina Gravitacional;重力地雷;グラビティマイン;중력 지뢰
;;;;;;;;;;
entities/items/automatic_mining_mods/name/proximity_mine_nuclear;Nuclear Mine;Mina Atomowa;Атомная мина;Mine nucléaire;Atomare Mine;Mina nuclear;Mina Nuclear;核地雷;ニュークマイン;핵 지뢰
;;;;;;;;;;
gui/menu/research/category_automatic_mining_mods;Mine Trail;;Минный след;;;;;;;
;;;;;;;;;;
gui/menu/research/name/automatic_mining_standard_item;Mine Trail;;Минный след;;;;;;;
