;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
gui/menu/inventory/skill_name/grenades_pack;Grenades Pack;;Кластер турелей;;;;;;;
gui/menu/inventory/skill_description/grenades_pack;Grenades Pack;;Кластер турелей;;;;;;;
;;;;;;;;;;
entities/items/grenades_pack_mods/name/grenade;Grenade;Granat;Граната;Grenade;Granate;Granada;Granada;手榴弹;グレネード;수류탄
;;;;;;;;;;
entities/items/grenades_pack_mods/name/grenade_gravity;Gravity Grenade;Granat Grawitacyjny;Гравитационная граната;Grenade gravitationnelle;Schwerkraft-Granate;Granada de gravedad;Granada Gravitacional;重力手雷;グラビティグレネード;중력 수류탄
;;;;;;;;;;
entities/items/grenades_pack_mods/name/grenade_sonic;Sonic Grenade;Granat Soniczny;Звуковая граната;Grenade sonique;Schallgranate;Granada sónica;Granada Sônica;声波手榴弹;ソニックグレネード;음파 수류탄
;;;;;;;;;;
entities/items/grenades_pack_mods/name/cluster_grenade_acid;Acid Cluster Grenade;Kwasowy Granat Kasetowy;Кислотная кластерная граната;Grenade à fragmentation acide;Säurehaltige Cluster-Granate;Granada de racimo de ácido;Morteiro Ácido;酸性集束手榴弹;アシッドクラスターグレネード;산성 클러스터 수류탄
;;;;;;;;;;
gui/menu/research/category_grenades_pack_mods;Grenades Pack Types;;Типы атакующих дронов;;;;;;;
;;;;;;;;;;
gui/menu/research/name/grenades_pack_standard_item;Grenades Pack;;Кластер турелей;;;;;;;
gui/menu/research/description/grenades_pack_standard_item;A blueprint for a craftable, self-operated defensive turret that tracks targets in its vicinity. If an enemy is recognized, the turret will automatically open fire. No ammunition is necessary. Works for a limited amount of time.;Plany konstrukcyjne dla autonomicznej wieżyczki obronnej, która śledzi i niszczy cele w swoim pobliżu. Do jej działania niepotrzebne są amunicja i podłączenie do źródła energii. Działa do momentu zniszczenia, bądź do wyczerpania zasobów energii.;Чертеж самодельной оборонительной турели, которая отслеживает цели, находящиеся поблизости. Если враг распознан, турель автоматически открывает огонь. Боеприпасы не требуются. Работает ограниченное количество времени.;Les plans pour fabriquer une tourelle de défense autonome qui suit les déplacements des cibles à portée. Si un ennemi est reconnu, la tourelle ouvrira automatiquement le feu. Elle ne nécessite pas de munitions, mais fonctionne pendant une durée limitée.;Ein Entwurf für einen herstellbaren, selbstgesteuerten Abwehrturm, der Ziele in seiner Umgebung verfolgt. Wird ein Feind erkannt, eröffnet der Geschützturm automatisch das Feuer. Es wird keine Munition benötigt. Funktioniert nur für eine begrenzte Zeitspanne.;Un plano para fabricar una torreta de defensa autónoma que rastrea a los objetivos en sus inmediaciones. Al reconocer a un enemigo, la torreta abre fuego automáticamente. No requiere munición y funciona durante un tiempo limitado.;Um projeto para uma torreta defensiva fabricável, que opera sozinha e rastreia alvos em sua vizinhança. Se um inimigo for reconhecido, a torreta abrirá fogo automaticamente. Munição desnecessária. Funciona por tempo limitado.;一个可打造的、自动化的防御性炮塔蓝图，可以追踪附近目标。一旦识别敌人，炮塔会自动开火。不需要消耗炮弹。在有限的时间内工作。;クラフト可能な自走式防衛砲塔の設計図。周囲のターゲットを追跡し、敵を認識すると自動的に射撃を開始する。弾薬は不要。一定時間しか使用できない。;주변 목표를 자동으로 추적하는 방어 터렛의 청사진입니다. 적이 탐지되면 자동으로 발포합니다. 탄약이 필요하지 않습니다. 제한된 시간 동안 작동합니다.
;;;;;;;;;;
gui/menu/research/name/grenades_pack_mods_grenade_standard_item;Grenade;Granat;Граната;Grenade;Granate;Granada;Granada;手榴弹;グレネード;수류탄
gui/menu/research/description/grenades_pack_mods_grenade_standard_item;The most basic, explosive weapon. It’s single use and deals explosive damage in its blast radius. Explodes on hitting the target or after the fuse runs out.;Najbardziej podstawowa forma materiałów wybuchowych dostępna dla Riftbreakera. Granaty są jednorazowego użytku. Po użyciu zadają one obrażenia obszarowe w promieniu kilku metrów. Eksplozja następuje po kontakcie z celem, bądź po wypaleniu się lontu.;Самая простая одноразовая взрывчатка. Она наносит взрывной урон в радиусе поражения. Взрывается при попадании в цель или через некоторое время после использования.;La plus basique des armes explosives. Elle est à usage unique et inflige des dégâts dans son rayon d'action. Elle explose lorsqu'elle touche la cible ou lorsque sa mèche est consumée.;Die einfachste Explosivwaffe. Sie kann einmalig verwendet werden und verursacht Explosivschaden in ihrem Radius. Sie explodiert beim Auftreffen auf das Ziel oder nach dem Abbrennen der Lunte.;El arma explosiva más básica. Es de un solo uso e inflige daño explosivo en su radio de alcance. Explota al impactar contra el objetivo o cuando se consume la mecha.;A arma explosiva mais básica. É de uso único e causa dano explosivo em sua área de impacto. Explode ao acertar o alvo ou quando seu fusível queima.;最基础的爆破型武器。一次性使用，在爆炸半径内造成爆炸伤害。在命中目标或是引线燃尽时爆炸。;最も標準的な爆破武器。使い切りで、爆発圏内に爆破ダメージを与える。ターゲットに当たるか、導火線が燃え尽きると起爆する。;가장 기본적인 폭발성 무기입니다. 일회용이며 광역 폭발 피해를 입힙니다. 목표물에 닿거나 일정 시간이 지나면 폭발합니다.
;;;;;;;;;;
gui/menu/research/name/grenades_pack_mods_cluster_grenade_acid_standard_item;Acid Cluster Grenade;Kwasowy Granat Kasetowy;Кислотная кластерная граната;Grenade à fragmentation acide;Säurehaltige Cluster-Granate;Granada de racimo de ácido;Morteiro Ácido;酸性集束手榴弹;アシッドクラスターグレネード;산성 클러스터 수류탄
gui/menu/research/description/grenades_pack_mods_cluster_grenade_acid_standard_item;This special type of grenade is packed with a mixture of highly corrosive substances. The grenade divides into several, smaller explosive packages.;Ten specjalny typ granatu jest wypełniony mieszaniną silnie żrących substancji. Granat dzieli się na kilka mniejszych ładunków wybuchowych.;Поражающим элементом в этом виде гранат служит смесь высококоррозионных веществ. Граната разделяется на несколько меньших боевых частей.;Ces grenades spéciales contiennent un mélange de substances très corrosives. Elles se scindent en plusieurs petits engins explosifs.;Dieser spezielle Granatentypus steckt voller hochätzender Substanzen. Die Granate teilt sich in mehrere, kleinere Sprengstoffpakete auf.;Este tipo especial de granada está cargada con una mezcla de sustancias muy corrosivas. La granada se divide en varios paquetes explosivos más pequeños.;Um tipo de granada especial, carregada com um composto altamente corrosivo. A granada se divide em diversos pacotes explosivos menores.;这种特殊类型的手榴弹内装有高度腐蚀性物质的混合物。手榴弹会分成几个更小的爆炸包。;この特殊グレネードには腐食性の高い物質の混合物が詰まっている。使用の際、このグレネードは複数のより小さい散弾に分裂する。;특별한 수류탄으로 부식성이 매우 높은 물질로 혼합되어 있습니다. 수류탄은 여러 개의 작은 폭발물로 나누어집니다.
;;;;;;;;;;
gui/menu/research/name/grenades_pack_mods_grenade_gravity_standard_item;Gravity Grenade;Granat Grawitacyjny;Гравитационная граната;Grenade gravitationnelle;Schwerkraft-Granate;Granada de gravedad;Granada Gravitacional;重力手雷;グラビティグレネード;중력 수류탄
