;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
gui/menu/inventory/skill_name/mine_trail_1;Mine Trail 1;;Связка гранат 1;;;;;;;
gui/menu/inventory/skill_description/mine_trail_1;Skill allows you to throw several grenades depending on the settings.;;Навык позволяет метать несколько гранат в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/mine_trail_2;Mine Trail 2;;Связка гранат 2;;;;;;;
gui/menu/inventory/skill_description/mine_trail_2;Skill allows you to throw several grenades depending on the settings.;;Навык позволяет метать несколько гранат в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/mine_trail_3;Mine Trail 3;;Связка гранат 3;;;;;;;
gui/menu/inventory/skill_description/mine_trail_3;Skill allows you to throw several grenades depending on the settings.;;Навык позволяет метать несколько гранат в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/mine_trail_panel_1a;Mine Trail Configuration Panel 1;;Панель настройки Связки гранат 1;;;;;;;
gui/hud/building_description/mine_trail_panel_1a;Allows you to configure the skill Mine Trail 1.;;Позволяет настраивать скилл Связка гранат 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/mine_trail_panel_2a;Mine Trail Configuration Panel 2;;Панель настройки Связки гранат 2;;;;;;;
gui/hud/building_description/mine_trail_panel_2a;Allows you to configure the skill Mine Trail 2.;;Позволяет настраивать скилл Связка гранат 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/mine_trail_panel_3a;Mine Trail Configuration Panel 3;;Панель настройки Связки гранат 3;;;;;;;
gui/hud/building_description/mine_trail_panel_3a;Allows you to configure the skill Mine Trail 3.;;Позволяет настраивать скилл Связка гранат 3.;;;;;;;
;;;;;;;;;;
entities/items/mine_trail_mods/name/proximity_mine;Small Mine;Mała Mina;Малая мина;Petite mine;Kleine Mine;Mina pequeña;Mina Pequena;小型地雷 ;スモールマイン;소형 지뢰
;;;;;;;;;;
