;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
gui/menu/inventory/skill_name/customizable_movement_skill_1;Customizable Movement Skill 1;;Связка гранат 1;;;;;;;
gui/menu/inventory/skill_description/customizable_movement_skill_1;Skill allows you to throw several grenades depending on the settings.;;Навык позволяет метать несколько гранат в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/customizable_movement_skill_2;Customizable Movement Skill 2;;Связка гранат 2;;;;;;;
gui/menu/inventory/skill_description/customizable_movement_skill_2;Skill allows you to throw several grenades depending on the settings.;;Навык позволяет метать несколько гранат в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/customizable_movement_skill_3;Customizable Movement Skill 3;;Связка гранат 3;;;;;;;
gui/menu/inventory/skill_description/customizable_movement_skill_3;Skill allows you to throw several grenades depending on the settings.;;Навык позволяет метать несколько гранат в зависимости от настроек.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/customizable_movement_skill_panel_1;Customizable Movement Skill Configuration Panel 1-1;;Панель настройки Связки гранат 1-1;;;;;;;
gui/hud/building_description/customizable_movement_skill_panel_1;Allows you to configure the skill Customizable Movement Skill 1 part 1.;;Позволяет настраивать скилл Связка гранат 1 часть 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/customizable_movement_skill_panel_1b;Customizable Movement Skill Configuration Panel 1-2;;Панель настройки Связки гранат 1-2;;;;;;;
gui/hud/building_description/customizable_movement_skill_panel_1b;Allows you to configure the skill Customizable Movement Skill 1 part 2.;;Позволяет настраивать скилл Связка гранат 1 часть 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/customizable_movement_skill_panel_2;Customizable Movement Skill Configuration Panel 2-1;;Панель настройки Связки гранат 2-1;;;;;;;
gui/hud/building_description/customizable_movement_skill_panel_2;Allows you to configure the skill Customizable Movement Skill 2 part 1.;;Позволяет настраивать скилл Связка гранат 2 часть 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/customizable_movement_skill_panel_2b;Customizable Movement Skill Configuration Panel 2-2;;Панель настройки Связки гранат 2-2;;;;;;;
gui/hud/building_description/customizable_movement_skill_panel_2b;Allows you to configure the skill Customizable Movement Skill 2 part 2.;;Позволяет настраивать скилл Связка гранат 2 часть 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/customizable_movement_skill_panel_3;Customizable Movement Skill Configuration Panel 3-1;;Панель настройки Связки гранат 3-1;;;;;;;
gui/hud/building_description/customizable_movement_skill_panel_3;Allows you to configure the skill Customizable Movement Skill 3 part 1.;;Позволяет настраивать скилл Связка гранат 3 часть 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/customizable_movement_skill_panel_3b;Customizable Movement Skill Configuration Panel 3-2;;Панель настройки Связки гранат 3-2;;;;;;;
gui/hud/building_description/customizable_movement_skill_panel_3b;Allows you to configure the skill Customizable Movement Skill 3 part 2.;;Позволяет настраивать скилл Связка гранат 3 часть 2.;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
gui/menu/research/category_customizable_movement_skill_mods;Customizable Movement Skill;;Связка гранат;;;;;;;
;;;;;;;;;;
gui/menu/research/name/customizable_movement_skill_standard_item;Customizable Movement Skill;;Связка гранат;;;;;;;
gui/menu/research/description/customizable_movement_skill_standard_item;This research allows Riftbreaker to configure and use Customizable Movement Skill skills.;;Это исследование позволяет рифтбрейкеру настраивать и использовать скиллы Связок гранат.;;;;;;;
;;;;;;;;;;
entities/items/customizable_movement_skill_types/name/dash;Dash;Doskok;Рывок;Sprint;Vorstürmen;Esprint;Propulsão;猛冲;突進;대쉬
entities/items/customizable_movement_skill_types/name/dodge_roll;Dodge Roll;Przewrót Bojowy;Перекат;Roulade;Ausweichrolle;Movimiento para esquivar;Rolamento;翻滚躲闪;ドッジロール;회피 구르기
entities/items/customizable_movement_skill_types/name/invisibility;Alien Camouflage;Kamuflaż Obcych;Инопланетный камуфляж;Camouflage extraterrestre;Alien-Tarnung;Camuflaje alienígena;Camuflagem Alienígena;外星伪装;エイリアンカモフラージュ;외계 위장
entities/items/customizable_movement_skill_types/name/jump;Power Jump;Skok Bojowy;Прыжок силы;Saut surpuissant;Power Jump;Salto de potencia;Salto Potente;充能跳跃;パワージャンプ;파워 점프
entities/items/customizable_movement_skill_types/name/teleport;Teleport;Teleport;Телепорт;Téléportation;Teleportieren;Teletransporte;Teleporte;传送;テレポート;순간 이동
entities/items/customizable_movement_skill_types/name/time_warp;Time Warp;Zakrzywienie Czasu;Временной разрыв;Distorsion temporelle;Zeitverzerrung;Túnel temporal;Distorção Temporal;时间扭曲;タイムワープ;타임 워프
;;;;;;;;;;
entities/items/customizable_movement_skill_types/description/dash;Dash;Doskok;Рывок;Sprint;Vorstürmen;Esprint;Propulsão;猛冲;突進;대쉬
entities/items/customizable_movement_skill_types/description/dodge_roll;Dodge Roll;Przewrót Bojowy;Перекат;Roulade;Ausweichrolle;Movimiento para esquivar;Rolamento;翻滚躲闪;ドッジロール;회피 구르기
entities/items/customizable_movement_skill_types/description/invisibility;Alien Camouflage;Kamuflaż Obcych;Инопланетный камуфляж;Camouflage extraterrestre;Alien-Tarnung;Camuflaje alienígena;Camuflagem Alienígena;外星伪装;エイリアンカモフラージュ;외계 위장
entities/items/customizable_movement_skill_types/description/jump;Power Jump;Skok Bojowy;Прыжок силы;Saut surpuissant;Power Jump;Salto de potencia;Salto Potente;充能跳跃;パワージャンプ;파워 점프
entities/items/customizable_movement_skill_types/description/teleport;Teleport;Teleport;Телепорт;Téléportation;Teleportieren;Teletransporte;Teleporte;传送;テレポート;순간 이동
entities/items/customizable_movement_skill_types/description/time_warp;Time Warp;Zakrzywienie Czasu;Временной разрыв;Distorsion temporelle;Zeitverzerrung;Túnel temporal;Distorção Temporal;时间扭曲;タイムワープ;타임 워프
;;;;;;;;;;
entities/items/customizable_movement_skill_explosions/name/acid;Acid damage;Obrażenia od Kwasu;Урон кислотой;Dégâts acides;Säureschaden;Daño ácido;Dano ácido;酸雨伤害;酸性ダメージ;산성 피해
entities/items/customizable_movement_skill_explosions/name/area;Area damage;Obrażenia obszarowe;Урон по площади;Dégâts de zone;Umgebungsschaden;Daño de área;Dano em área;区域伤害;範囲ダメージ;광역 피해
entities/items/customizable_movement_skill_explosions/name/cryo;Cryo damage;Obrażenia od Zimna;Урон холодом;Dégâts cryogéniques;Kryoschaden;Daño helado;Dano criogênico;冷冻伤害;凍結ダメージ;극저온 피해
entities/items/customizable_movement_skill_explosions/name/energy;Energy damage;Obrażenia od Energii;Урон энергией;Dégâts énergétiques;Energieschaden;Daño de energía;Dano energético;能量伤害;エネルギーダメージ;에너지 피해
entities/items/customizable_movement_skill_explosions/name/fire;Fire damage;Obrażenia od Ognia;Урон огнем;Dégâts de feu;Feuerschaden;Daño de fuego;Dano incendiário;射击伤害;炎上ダメージ;화염 피해
entities/items/customizable_movement_skill_explosions/name/physical;Physical damage;Obrażenia Fizyczne;Физический урон;Dégâts physiques;Physischer Schaden;Daño físico;Dano físico;物理伤害;物理ダメージ;물리 피해
;;;;;;;;;;
entities/items/customizable_movement_skill_explosions/description/acid_standard;Acid damage;Obrażenia od Kwasu;Урон кислотой;Dégâts acides;Säureschaden;Daño ácido;Dano ácido;酸雨伤害;酸性ダメージ;산성 피해
entities/items/customizable_movement_skill_explosions/description/acid_advanced;Acid damage;Obrażenia od Kwasu;Урон кислотой;Dégâts acides;Säureschaden;Daño ácido;Dano ácido;酸雨伤害;酸性ダメージ;산성 피해
entities/items/customizable_movement_skill_explosions/description/acid_superior;Acid damage;Obrażenia od Kwasu;Урон кислотой;Dégâts acides;Säureschaden;Daño ácido;Dano ácido;酸雨伤害;酸性ダメージ;산성 피해
entities/items/customizable_movement_skill_explosions/description/acid_extreme;Acid damage;Obrażenia od Kwasu;Урон кислотой;Dégâts acides;Säureschaden;Daño ácido;Dano ácido;酸雨伤害;酸性ダメージ;산성 피해
;;;;;;;;;;
entities/items/customizable_movement_skill_explosions/description/area_standard;Area damage;Obrażenia obszarowe;Урон по площади;Dégâts de zone;Umgebungsschaden;Daño de área;Dano em área;区域伤害;範囲ダメージ;광역 피해
entities/items/customizable_movement_skill_explosions/description/area_advanced;Area damage;Obrażenia obszarowe;Урон по площади;Dégâts de zone;Umgebungsschaden;Daño de área;Dano em área;区域伤害;範囲ダメージ;광역 피해
entities/items/customizable_movement_skill_explosions/description/area_superior;Area damage;Obrażenia obszarowe;Урон по площади;Dégâts de zone;Umgebungsschaden;Daño de área;Dano em área;区域伤害;範囲ダメージ;광역 피해
entities/items/customizable_movement_skill_explosions/description/area_extreme;Area damage;Obrażenia obszarowe;Урон по площади;Dégâts de zone;Umgebungsschaden;Daño de área;Dano em área;区域伤害;範囲ダメージ;광역 피해
;;;;;;;;;;
entities/items/customizable_movement_skill_explosions/description/cryo_standard;Cryo damage;Obrażenia od Zimna;Урон холодом;Dégâts cryogéniques;Kryoschaden;Daño helado;Dano criogênico;冷冻伤害;凍結ダメージ;극저온 피해
entities/items/customizable_movement_skill_explosions/description/cryo_advanced;Cryo damage;Obrażenia od Zimna;Урон холодом;Dégâts cryogéniques;Kryoschaden;Daño helado;Dano criogênico;冷冻伤害;凍結ダメージ;극저온 피해
entities/items/customizable_movement_skill_explosions/description/cryo_superior;Cryo damage;Obrażenia od Zimna;Урон холодом;Dégâts cryogéniques;Kryoschaden;Daño helado;Dano criogênico;冷冻伤害;凍結ダメージ;극저온 피해
entities/items/customizable_movement_skill_explosions/description/cryo_extreme;Cryo damage;Obrażenia od Zimna;Урон холодом;Dégâts cryogéniques;Kryoschaden;Daño helado;Dano criogênico;冷冻伤害;凍結ダメージ;극저온 피해
;;;;;;;;;;
entities/items/customizable_movement_skill_explosions/description/energy_standard;Energy damage;Obrażenia od Energii;Урон энергией;Dégâts énergétiques;Energieschaden;Daño de energía;Dano energético;能量伤害;エネルギーダメージ;에너지 피해
entities/items/customizable_movement_skill_explosions/description/energy_advanced;Energy damage;Obrażenia od Energii;Урон энергией;Dégâts énergétiques;Energieschaden;Daño de energía;Dano energético;能量伤害;エネルギーダメージ;에너지 피해
entities/items/customizable_movement_skill_explosions/description/energy_superior;Energy damage;Obrażenia od Energii;Урон энергией;Dégâts énergétiques;Energieschaden;Daño de energía;Dano energético;能量伤害;エネルギーダメージ;에너지 피해
entities/items/customizable_movement_skill_explosions/description/energy_extreme;Energy damage;Obrażenia od Energii;Урон энергией;Dégâts énergétiques;Energieschaden;Daño de energía;Dano energético;能量伤害;エネルギーダメージ;에너지 피해
;;;;;;;;;;
entities/items/customizable_movement_skill_explosions/description/fire_standard;Fire damage;Obrażenia od Ognia;Урон огнем;Dégâts de feu;Feuerschaden;Daño de fuego;Dano incendiário;射击伤害;炎上ダメージ;화염 피해
entities/items/customizable_movement_skill_explosions/description/fire_advanced;Fire damage;Obrażenia od Ognia;Урон огнем;Dégâts de feu;Feuerschaden;Daño de fuego;Dano incendiário;射击伤害;炎上ダメージ;화염 피해
entities/items/customizable_movement_skill_explosions/description/fire_superior;Fire damage;Obrażenia od Ognia;Урон огнем;Dégâts de feu;Feuerschaden;Daño de fuego;Dano incendiário;射击伤害;炎上ダメージ;화염 피해
entities/items/customizable_movement_skill_explosions/description/fire_extreme;Fire damage;Obrażenia od Ognia;Урон огнем;Dégâts de feu;Feuerschaden;Daño de fuego;Dano incendiário;射击伤害;炎上ダメージ;화염 피해
;;;;;;;;;;
entities/items/customizable_movement_skill_explosions/description/physical_standard;Physical damage;Obrażenia Fizyczne;Физический урон;Dégâts physiques;Physischer Schaden;Daño físico;Dano físico;物理伤害;物理ダメージ;물리 피해
entities/items/customizable_movement_skill_explosions/description/physical_advanced;Physical damage;Obrażenia Fizyczne;Физический урон;Dégâts physiques;Physischer Schaden;Daño físico;Dano físico;物理伤害;物理ダメージ;물리 피해
entities/items/customizable_movement_skill_explosions/description/physical_superior;Physical damage;Obrażenia Fizyczne;Физический урон;Dégâts physiques;Physischer Schaden;Daño físico;Dano físico;物理伤害;物理ダメージ;물리 피해
entities/items/customizable_movement_skill_explosions/description/physical_extreme;Physical damage;Obrażenia Fizyczne;Физический урон;Dégâts physiques;Physischer Schaden;Daño físico;Dano físico;物理伤害;物理ダメージ;물리 피해
;;;;;;;;;;
