;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/acid_turret;Acid Turret;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/crystal_turret;Crystal Sentry;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/alien_influence_turret;Morphium Spike;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/magma_caster_turret;Magma Caster Turret;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/gravity_turret;Gravity Turret;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/grenadier_turret;Grenadier Turret;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/radio_shotgun_turret;Radio Shotgun Turret;;;;;;;;;
entities/items/turrets_cluster_mods/expanded_arsenal/name/thumper_turret;Thumper Turret;;;;;;;;;
;;;;;;;;;;
gui/menu/research/category_turrets_cluster_expanded_arsenal_mods;Expanded Arsenal Turrets Cluster;;Расширенный Арсенал Кластер турелей;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_acid_turret_standard_item;Acid Turret;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_acid_turret_standard_item;Acid Turret is a deployable combat system equipped with rapid firing Corrosive Gun.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_crystal_turret_standard_item;Crystal Sentry;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_crystal_turret_standard_item;Crystal Mortar is a deployable version of Crystal Sentry used by Crystal Ejector Tower.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_alien_influence_turret_standard_item;Morphium Spike;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_alien_influence_turret_standard_item;A field-deployable version of Morphium Tower. The compact Morphium Spike do not have any shielding capabilities.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_magma_caster_turret_standard_item;Magma Caster Turret;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_magma_caster_turret_standard_item;A converted Sentry Gun consumable equipped with compact short range magma caster.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_gravity_turret_standard_item;Gravity Turret;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_gravity_turret_standard_item;A special Sentry Gun armed with a gravity wave weapon that is very powerful against big creatures.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_grenadier_turret_standard_item;Grenadier Turret;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_grenadier_turret_standard_item;Field-deployable, self-contained autonomous automatic grenade launcher armed with high explosive grenades.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_radio_shotgun_turret_standard_item;Radio Shotgun Turret;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_radio_shotgun_turret_standard_item;Radio Shotgun Turret is a combat turret armed with scatter-shot radiation emitter.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_mods_expanded_arsenal_thumper_turret_standard_item;Thumper Turret;;;;;;;;;
gui/menu/research/description/turrets_cluster_mods_expanded_arsenal_thumper_turret_standard_item;A miniaturized, self-contained Shockwave Tower that can inflict cryo damage to enemies in a wide area.;;;;;;;;;
;;;;;;;;;;
