;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
gui/menu/inventory/consumable_name/turrets_cluster;Turrets Cluster;;Кластер турелей;;;;;;;
gui/menu/inventory/consumable_description/turrets_cluster;Turrets Cluster;;Кластер турелей;;;;;;;
;;;;;;;;;;
entities/items/turrets_cluster_mods/name/mobile_turret;Sentry Gun;Wieżyczka Automatyczna;Автоматическая турель;Canon sentinelle;Sentry-Gewehr;Torreta automática;Torreta;哨兵机关枪;セントリーガン;센트리 건
;;;;;;;;;;
entities/items/turrets_cluster_mods/name/tesla_turret;Lightning Sentry;Przenośna Wieżyczka Piorunów;Электроразрядная турель;Sentinelle foudroyante;Blitzwächter;Torreta eléctrica;Torreta Elétrica;闪电哨兵;ライトニングセントリー;번개 센트리
;;;;;;;;;;
entities/items/turrets_cluster_mods/name/cryo_sentry;Cryo Sentry;Wieżyczka Lodowa;Криогенная турель;Sentinelle cryogénique;Kryo-Sentry;Torreta criogénica;Torreta Criogênica;低温哨兵;凍結セントリー;극저온 센트리
;;;;;;;;;;
entities/items/turrets_cluster_mods/name/scanner_turret;Bioscanner Turret;Wieżyczka Bioskanerowa;Башня-биосканер;Tourelle à bioscanner;Bioscanner-Turm;Torreta del bioescáner;Torreta Biológica;生物扫描塔;バイオスキャナタレット;바이오 스캐너 터렛
;;;;;;;;;;
gui/menu/research/category_turrets_cluster_mods;Cluster Turrets Types;;Типы атакующих дронов;;;;;;;
;;;;;;;;;;
gui/menu/research/name/turrets_cluster_standard_item;Turrets Cluster;;Кластер турелей;;;;;;;
