;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/skill_name/teleport_attack_area;Teleport Attack;;Атакующий Телепорт;;;;;;;
gui/menu/inventory/skill_description/teleport_attack_area;teleport_attack_area;;Атакующий телепорт;;;;;;;
gui/menu/inventory/skill_name/teleport_double_area;Teleport Double;;Двойной Телепорт;;;;;;;
gui/menu/inventory/skill_description/teleport_double_area;teleport_double_area;;Двойной телепорт;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_area;Teleport Emergency;;Экстренный Телепорт;;;;;;;
gui/menu/inventory/skill_description/teleport_emergency_area;teleport_emergency_area;;Экстренный телепорт;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_acid;Teleport Attack - Acid;;Атакующий Телепорт – Кислота;;;;;;;
gui/menu/inventory/skill_description/teleport_attack_acid;teleport_attack_acid;;Атакующий телепорт – Кислота;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_acid;Teleport Emergency - Acid;;Экстренный Телепорт – Кислота;;;;;;;
gui/menu/inventory/skill_description/teleport_emergency_acid;teleport_emergency_acid;;Экстренный телепорт – Кислота;;;;;;;
gui/menu/inventory/skill_name/teleport_double_acid;Teleport Double - Acid;;Двойной Телепорт – Кислота;;;;;;;
gui/menu/inventory/skill_description/teleport_double_acid;teleport_double_acid;;Двойной телепорт – Кислота;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_energy;Teleport Attack - Energy;;Атакующий Телепорт – Энергия;;;;;;;
gui/menu/inventory/skill_description/teleport_attack_energy;teleport_attack_energy;;Атакующий телепорт – Энергия;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_energy;Teleport Emergency - Energy;;Экстренный Телепорт – Энергия;;;;;;;
gui/menu/inventory/skill_description/teleport_emergency_energy;teleport_emergency_energy;;Экстренный телепорт – Энергия;;;;;;;
gui/menu/inventory/skill_name/teleport_double_energy;Teleport Double - Energy;;Двойной Телепорт – Энергия;;;;;;;
gui/menu/inventory/skill_description/teleport_double_energy;teleport_double_energy;;Двойной телепорт – Энергия;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_fire;Teleport Attack - Fire;;Атакующий Телепорт – Огонь;;;;;;;
gui/menu/inventory/skill_description/teleport_attack_fire;teleport_attack_fire;;Атакующий телепорт – Огонь;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_fire;Teleport Emergency - Fire;;Экстренный Телепорт – Огонь;;;;;;;
gui/menu/inventory/skill_description/teleport_emergency_fire;teleport_emergency_fire;;Экстренный телепорт – Огонь;;;;;;;
gui/menu/inventory/skill_name/teleport_double_fire;Teleport Double - Fire;;Двойной Телепорт – Огонь;;;;;;;
gui/menu/inventory/skill_description/teleport_double_fire;teleport_double_fire;;Двойной телепорт – Огонь;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_ice;Teleport Attack - Cryo;;Атакующий Телепорт – Холод;;;;;;;
gui/menu/inventory/skill_description/teleport_attack_ice;teleport_attack_ice;;Атакующий телепорт – Холод;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_ice;Teleport Emergency - Cryo;;Экстренный Телепорт – Холод;;;;;;;
gui/menu/inventory/skill_description/teleport_emergency_ice;teleport_emergency_ice;;Экстренный телепорт – Холод;;;;;;;
gui/menu/inventory/skill_name/teleport_double_ice;Teleport Double - Cryo;;Двойной Телепорт – Холод;;;;;;;
gui/menu/inventory/skill_description/teleport_double_ice;teleport_double_ice;;Двойной телепорт – Холод;;;;;;;
;;;;;;;;;;
gui/menu/research/category_teleport_skills;Teleport Skills;;Скиллы Телепорт;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_area_standart;Teleport Attack - Standart;;Атакующий Телепорт;;;;;;;
gui/menu/research/description/teleport_attack_area_standart;teleport_attack_area_standart;;Атакующий телепорт;;;;;;;
gui/menu/research/name/teleport_double_area_standart;Teleport Double - Standart;;Двойной Телепорт;;;;;;;
gui/menu/research/description/teleport_double_area_standart;teleport_double_area_standart;;Двойной телепорт;;;;;;;
gui/menu/research/name/teleport_emergency_area_standart;Teleport Emergency - Standart;;Экстренный Телепорт;;;;;;;
gui/menu/research/description/teleport_emergency_area_standart;teleport_emergency_area_standart;;Экстренный телепорт;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_acid_standart;Teleport Attack - Acid - Standart;;Атакующий Телепорт – Кислота;;;;;;;
gui/menu/research/description/teleport_attack_acid_standart;teleport_attack_acid_standart;;Атакующий телепорт – Кислота;;;;;;;
gui/menu/research/name/teleport_emergency_acid_standart;Teleport Emergency - Acid - Standart;;Экстренный Телепорт – Кислота;;;;;;;
gui/menu/research/description/teleport_emergency_acid_standart;teleport_emergency_acid_standart;;Экстренный телепорт – Кислота;;;;;;;
gui/menu/research/name/teleport_double_acid_standart;Teleport Double - Acid - Standart;;Двойной Телепорт – Кислота;;;;;;;
gui/menu/research/description/teleport_double_acid_standart;teleport_double_acid_standart;;Двойной телепорт – Кислота;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_energy_standart;Teleport Attack - Energy - Standart;;Атакующий Телепорт – Энергия;;;;;;;
gui/menu/research/description/teleport_attack_energy_standart;teleport_attack_energy_standart;;Атакующий телепорт – Энергия;;;;;;;
gui/menu/research/name/teleport_emergency_energy_standart;Teleport Emergency - Energy - Standart;;Экстренный Телепорт – Энергия;;;;;;;
gui/menu/research/description/teleport_emergency_energy_standart;teleport_emergency_energy_standart;;Экстренный телепорт – Энергия;;;;;;;
gui/menu/research/name/teleport_double_energy_standart;Teleport Double - Energy - Standart;;Двойной Телепорт – Энергия;;;;;;;
gui/menu/research/description/teleport_double_energy_standart;teleport_double_energy_standart;;Двойной телепорт – Энергия;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_fire_standart;Teleport Attack - Fire - Standart;;Атакующий Телепорт – Огонь;;;;;;;
gui/menu/research/description/teleport_attack_fire_standart;teleport_attack_fire_standart;;Атакующий телепорт – Огонь;;;;;;;
gui/menu/research/name/teleport_emergency_fire_standart;Teleport Emergency - Fire - Standart;;Экстренный Телепорт – Огонь;;;;;;;
gui/menu/research/description/teleport_emergency_fire_standart;teleport_emergency_fire_standart;;Экстренный телепорт – Огонь;;;;;;;
gui/menu/research/name/teleport_double_fire_standart;Teleport Double - Fire - Standart;;Двойной Телепорт – Огонь;;;;;;;
gui/menu/research/description/teleport_double_fire_standart;teleport_double_fire_standart;;Двойной телепорт – Огонь;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_ice_standart;Teleport Attack - Cryo - Standart;;Атакующий Телепорт – Холод;;;;;;;
gui/menu/research/description/teleport_attack_ice_standart;teleport_attack_ice_standart;;Атакующий телепорт – Холод;;;;;;;
gui/menu/research/name/teleport_emergency_ice_standart;Teleport Emergency - Cryo - Standart;;Экстренный Телепорт – Холод;;;;;;;
gui/menu/research/description/teleport_emergency_ice_standart;teleport_emergency_ice_standart;;Экстренный телепорт – Холод;;;;;;;
gui/menu/research/name/teleport_double_ice_standart;Teleport Double - Cryo - Standart;;Двойной Телепорт – Холод;;;;;;;
gui/menu/research/description/teleport_double_ice_standart;teleport_double_ice_standart;;Двойной телепорт – Холод;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_area_advanced;Teleport Attack - Advanced;;Атакующий Телепорт;;;;;;;
gui/menu/research/description/teleport_attack_area_advanced;teleport_attack_area_advanced;;Атакующий телепорт;;;;;;;
gui/menu/research/name/teleport_double_area_advanced;Teleport Double - Advanced;;Двойной Телепорт;;;;;;;
gui/menu/research/description/teleport_double_area_advanced;teleport_double_area_advanced;;Двойной телепорт;;;;;;;
gui/menu/research/name/teleport_emergency_area_advanced;Teleport Emergency - Advanced;;Экстренный Телепорт;;;;;;;
gui/menu/research/description/teleport_emergency_area_advanced;teleport_emergency_area_advanced;;Экстренный телепорт;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_acid_advanced;Teleport Attack - Acid - Advanced;;Атакующий Телепорт – Кислота;;;;;;;
gui/menu/research/description/teleport_attack_acid_advanced;teleport_attack_acid_advanced;;Атакующий телепорт – Кислота;;;;;;;
gui/menu/research/name/teleport_emergency_acid_advanced;Teleport Emergency - Acid - Advanced;;Экстренный Телепорт – Кислота;;;;;;;
gui/menu/research/description/teleport_emergency_acid_advanced;teleport_emergency_acid_advanced;;Экстренный телепорт – Кислота;;;;;;;
gui/menu/research/name/teleport_double_acid_advanced;Teleport Double - Acid - Advanced;;Двойной Телепорт – Кислота;;;;;;;
gui/menu/research/description/teleport_double_acid_advanced;teleport_double_acid_advanced;;Двойной телепорт – Кислота;;;;;;;
;;;;;;;;;;
gui/menu/research/name/teleport_attack_energy_advanced;Teleport Attack - Energy - Advanced;;Атакующий Телепорт – Энергия;;;;;;;
gui/menu/research/description/teleport_attack_energy_advanced;teleport_attack_energy_advanced;;Атакующий телепорт – Энергия;;;;;;;
gui/menu/research/name/teleport_emergency_energy_advanced;Teleport Emergency - Energy - Advanced;;Экстренный Телепорт – Энергия;;;;;;;
gui/menu/research/description/teleport_emergency_energy_advanced;teleport_emergency_energy_advanced;;Экстренный телепорт – Энергия;;;;;;;
gui/menu/research/name/teleport_double_energy_advanced;Teleport Double - Energy - Advanced;;Двойной Телепорт – Энергия;;;;;;;
