;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/skill_name/teleport_attack_area;Attack Teleport;;Атакующий Телепорт;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_acid;Attack Teleport - Acid;;Атакующий Телепорт - Кислота;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_energy;Attack Teleport - Energy;;Атакующий Телепорт - Энергия;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_fire;Attack Teleport - Fire;;Атакующий Телепорт - Огонь;;;;;;;
gui/menu/inventory/skill_name/teleport_attack_ice;Attack Teleport - Cryo;;Атакующий Телепорт - Холод;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_area;Emergency Teleport;;Экстренный Телепорт;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_acid;Emergency Teleport - Acid;;Экстренный Телепорт - Кислота;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_energy;Emergency Teleport - Energy;;Экстренный Телепорт - Энергия;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_fire;Emergency Teleport - Fire;;Экстренный Телепорт - Огонь;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_ice;Emergency Teleport - Cryo;;Экстренный Телепорт - Холод;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_combined_area;Combined Teleport;;Комбинированный Телепорт;;;;;;;
gui/menu/inventory/skill_name/teleport_combined_acid;Combined Teleport - Acid;;Комбинированный Телепорт - Кислота;;;;;;;
gui/menu/inventory/skill_name/teleport_combined_energy;Combined Teleport - Energy;;Комбинированный Телепорт - Энергия;;;;;;;
gui/menu/inventory/skill_name/teleport_combined_fire;Combined Teleport - Fire;;Комбинированный Телепорт - Огонь;;;;;;;
gui/menu/inventory/skill_name/teleport_combined_ice;Combined Teleport - Cryo;;Комбинированный Телепорт - Холод;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_description/teleport_attack_area;Movement skill that allows the Mecha-Suit to teleport instantly anywhere within the line of sight and then to attack with a kinetic shockwave dealing Area damage which harms even tough enemies.;;Навык движения, который позволяет меха-костюму моментально телепортироваться в любую точку в поле зрения и выпускать ударную волну, нанося урон по площади, поражающий даже сильных врагов.;;;;;;;
