;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/skill_name/dash_emergency_area;Emergency Dash;;Экстренный Рывок;;;;;;;
gui/menu/inventory/skill_name/dash_emergency_acid;Emergency Dash - Acid;;Экстренный Рывок - Кислота;;;;;;;
gui/menu/inventory/skill_name/dash_emergency_energy;Emergency Dash - Energy;;Экстренный Рывок - Энергия;;;;;;;
gui/menu/inventory/skill_name/dash_emergency_fire;Emergency Dash - Fire;;Экстренный Рывок - Огонь;;;;;;;
gui/menu/inventory/skill_name/dash_emergency_cryo;Emergency Dash - Cryo;;Экстренный Рывок - Холод;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_description/dash_emergency_area;Movement skill that allows the Mecha-Suit to attack with a kinetic shockwave dealing Area damage which harms even tough enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную волну разрушительной энергии, нанося урон по площади, и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_emergency_acid;Movement skill that allows the Mecha-Suit to attack with an Acid shockwave that damages enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную кислотную волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_emergency_energy;Movement skill that allows the Mecha-Suit to attack with an Energy shockwave that stuns enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную энергетическую волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_emergency_fire;Movement skill that allows the Mecha-Suit to attack with a Fire shockwave that burns enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную огненную волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_emergency_cryo;Movement skill that allows the Mecha-Suit to attack with a Cryo shockwave that slows down enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную холодную волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
;;;;;;;;;;
gui/menu/research/category_dash_emergency_skills;Emergency Dash Skills;;Скиллы Рывока;;;;;;;
;;;;;;;;;;
gui/menu/research/name/dash_emergency_area_standard;Emergency Dash - Standard;;Экстренный Рывок - Стандартно;;;;;;;
gui/menu/research/name/dash_emergency_area_advanced;Emergency Dash - Advanced;;Экстренный Рывок - Улучшено;;;;;;;
gui/menu/research/name/dash_emergency_area_superior;Emergency Dash - Superior;;Экстренный Рывок - Превосходно;;;;;;;
gui/menu/research/name/dash_emergency_area_extreme;Emergency Dash - Extreme;;Экстренный Рывок - Экстремально;;;;;;;
;;;;;;;;;;
gui/menu/research/description/dash_emergency_area_standard;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_area_advanced;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_area_superior;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_emergency_area_extreme;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
;;;;;;;;;;
gui/menu/research/name/dash_emergency_acid_standard;Emergency Dash - Acid - Standard;;Экстренный Рывок - Кислота - Стандартно;;;;;;;
gui/menu/research/name/dash_emergency_acid_advanced;Emergency Dash - Acid - Advanced;;Экстренный Рывок - Кислота - Улучшено;;;;;;;
gui/menu/research/name/dash_emergency_acid_superior;Emergency Dash - Acid - Superior;;Экстренный Рывок - Кислота - Превосходно;;;;;;;
gui/menu/research/name/dash_emergency_acid_extreme;Emergency Dash - Acid - Extreme;;Экстренный Рывок - Кислота - Экстремально;;;;;;;
;;;;;;;;;;
