;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/objective_name/generic/magma_creeper;Volcanic Crystal Vine detected.;;;;;;;;;
gui/hud/objective_name/generic/magma_creeper_find;Find the origin of the aggressive crystalline vine growth.;;;;;;;;;
gui/hud/objective_name/generic/magma_creeper_kill;Destroy the origin of the aggressive crystalline vine growth.;;;;;;;;;
monster_name/alien_tower_artillery_energy;Alien Energy Artillery;;;;;;;;;
monster_description/alien_tower_artillery_energy;First sighted together with emergence of Flurian Omega strain in Metal Valley, Alien Energy Artillery is a downscaled version of its progenitor. What makes the variant extremely dangerous is its ability to spawn octabits on projectile impact.;;;;;;;;;
monster_name/alien_tower_plasma_energy;Alien Energy Plasma Tower;;;;;;;;;
monster_description/alien_tower_plasma_energy;Emerging at almost the same time as Alien Energy Artillery, the Alien Energy Plasma Tower is a downscaled variant of existing Alien Plasma Tower. It is theorized that someone or something developed the war form for rapid field deployments.;;;;;;;;;
monster_name/alien_tower_artillery_kinetic;Alien Kinetic Artillery Tower;;;;;;;;;
monster_description/alien_tower_artillery_kinetic;An intriguing war form that appeared with Flurian Omicron strain, Alien Kinetic Artillery resembles an oversized high caliber sniper weapon. While it's uncertain if the war form was a response to Riftbreaker or by chance, its lethality is certain.;;;;;;;;;
monster_name/alien_tower_mortar_kinetic;Alien Kinetic Mortar Tower;;;;;;;;;
monster_description/alien_tower_mortar_kinetic;A co-emergent to Flurian Omicron and Alien Kinetic Artillery strains, Alien Kinetic Mortar apparently evolved from Alien Plasma Tower to shoot suicidal war forms similar to Alien Energy Artillery.;;;;;;;;;
monster_name/arachnoid_boss_cryo;Arachnoid Boss Cryo;;;;;;;;;
monster_name/arachnoid_boss_energy;Arachnoid Boss Energy;;;;;;;;;
monster_name/arachnoid_boss_fire;Arachnoid Boss Fire;;;;;;;;;
monster_name/arachnoid_boss_omega;Arachnoid Boss Omega;;;;;;;;;
monster_name/bradron_kinetic;Bradron Kinetic;;;;;;;;;
monster_description/bradron_kinetic;An unique strain observed to emerge at the same time as Flurian Omicron, Bradron Kinetic had apparently evolved rapid firing kinetic ejector that can pose a substantial threat to Riftbreaker armour.;;;;;;;;;
monster_name/bradron_tesla;Bradron Tesla;;;;;;;;;
monster_description/bradron_tesla;Bradron Tesla is a rare sub-variant of Bradron Ultra where it mysteriously evolved a way to project electrical arcs that can hit multiple targets at once in front of the alien. It is suspected that the strain emerged as a response to Riftbreaker lightning weapons.;;;;;;;;;
monster_name/arachnoid_magma;Magma Arachnoid;;;;;;;;;
monster_description/arachnoid_magma;A curious variant of Arachnoids, Magma Arachnoids had evolved to live within harsh volcanic regions of Galatea 37. The variant is almost identical to Magmoths where they eat and secrete highly volatile thermal fluids.;;;;;;;;;
