;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/lamp_tool;Multiple Lamps Tool;;Инструмент постройки многочисленных ламп;;;;;;;
gui/hud/building_description/lamp_tool;This tool allows you to build multipe lamps.;;Этот инструмент позволяет строить многочисленные лампы.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_lamp_all_picker_tool;Lamp Type Picker Tool;;Инструмент выбора типа ламп;;;;;;;
gui/hud/building_description/replace_lamp_all_picker_tool;This tool allows you to select Lamp Type to replace all lamps.;;Этот инструмент позволяет выбрать тип ламп для замены всех башен.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_lamp_all_replacer_tool;Replace All Selected Lamps with Picked Lamp Type;;Заменить все выделенные лампы на выбранный тип лампы;;;;;;;
gui/hud/building_description/replace_lamp_all_replacer_tool;This tool allows you to replace all selected lamps with Picked Lamp Type.;;Этот инструмент позволяет заменить все выделенные лампы на выбранный тип лампы.;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_lamp_tool/lamp_not_selected;Use Lamp Type Picker Tool.;;Используйте инструмент выбора типа ламп.;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_lamp_tool/lamp_1_not_selected;Use Lamp Type 1\nPicker Tool.;;Используйте инструмент\nвыбора типа ламп 1.;;;;;;;
gui/hud/messages/replace_lamp_tool/lamp_2_not_selected;Use Lamp Type 2\nPicker Tool.;;Используйте инструмент\nвыбора типа ламп 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_lamp_picker_1_tool;Lamp Type 1 Picker Tool;;Инструмент выбора типа ламп 1;;;;;;;
gui/hud/building_description/replace_lamp_picker_1_tool;This tool allows you to select Lamp Type 1.;;Этот инструмент позволяет выбрать тип ламп 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_lamp_picker_2_tool;Lamp Type 2 Picker Tool;;Инструмент выбора типа ламп 2;;;;;;;
gui/hud/building_description/replace_lamp_picker_2_tool;This tool allows you to select Lamp Type 2.;;Этот инструмент позволяет выбрать тип ламп 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_lamp_replacer_from_1_to_2_tool;Replace Selected Lamps Type 1 with Type 2;;Заменить все выделенные лампы типа 1 на тип 2;;;;;;;
gui/hud/building_description/replace_lamp_replacer_from_1_to_2_tool;This tool allows you to replace all selected Lamps Type 1 with Type 2.;;Этот инструмент позволяет заменить все выделенные лампы типа 1 на тип 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_lamp_replacer_from_2_to_1_tool;Replace Selected Lamps Type 2 with Type 1;;Заменить все выделенные лампы типа 2 на тип 1;;;;;;;
gui/hud/building_description/replace_lamp_replacer_from_2_to_1_tool;This tool allows you to replace all selected Lamps Type 2 with Type 1.;;Этот инструмент позволяет заменить все выделенные лампы типа 2 на тип 1.;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_lamp_tool/last_building;Select Previous;;Выбрать предыдущее;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_lamp_tool/current_building;Current;;Текущее;;;;;;;
