;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/light_on_tool;Turn Light On;;Включение освещения;;;;;;;
gui/hud/building_description/light_on_tool;This tool allows you to turn on the lighting of single or multiple buildings.;;Этот инструмент позволяет включать освещение одной или нескольких построек одновременно.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/light_off_tool;Turn Light Off;;Отключение освещения;;;;;;;
gui/hud/building_description/light_off_tool;This tool allows you to turn off the lighting of single or multiple buildings.;;Этот инструмент позволяет отключать освещение одной или нескольких построек одновременно.;;;;;;;
;;;;;;;;;;
gui/hud/lights_switch_all_map/lights_on;Turn All Lights On;;Включить все освещение;;;;;;;
gui/hud/lights_switch_all_map/lights_off;Turn All Lights Off;;Выключить все освещение;;;;;;;
;;;;;;;;;;
gui/hud/building_name/light_switcher_all_map_tool;Light Switching in All Buildings Tool;;Инструмент переключения освещения всех зданий;;;;;;;
gui/hud/building_description/light_switcher_all_map_tool;This tool allows you to turn lights on or off in all buildings.;;Этот инструмент позволяет переключать освещение всех построек одновременно.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/light_switcher_mech_tool;Mech's Lamps Switcher Tool;;Инструмент переключения ламп Меха;;;;;;;
gui/hud/building_description/light_switcher_mech_tool;This tool allows you to turn Mr. Riggs's lamps on and off.;;Этот инструмент позволяет включать и выключать лампы освещения Мистера Ригза.;;;;;;;
;;;;;;;;;;
