;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/skill_name/dash_explosion_area;Explosion Dash;;Взрывной Рывок;;;;;;;
gui/menu/inventory/skill_name/dash_explosion_acid;Explosion Dash - Acid;;Взрывной Рывок - Кислота;;;;;;;
gui/menu/inventory/skill_name/dash_explosion_energy;Explosion Dash - Energy;;Взрывной Рывок - Энергия;;;;;;;
gui/menu/inventory/skill_name/dash_explosion_fire;Explosion Dash - Fire;;Взрывной Рывок - Огонь;;;;;;;
gui/menu/inventory/skill_name/dash_explosion_cryo;Explosion Dash - Cryo;;Взрывной Рывок - Холод;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_description/dash_explosion_area;Movement skill that allows the Mecha-Suit to attack with a kinetic shockwave dealing Area damage which harms even tough enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную волну разрушительной энергии, нанося урон по площади, и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_explosion_acid;Movement skill that allows the Mecha-Suit to attack with an Acid shockwave that damages enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную кислотную волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_explosion_energy;Movement skill that allows the Mecha-Suit to attack with an Energy shockwave that stuns enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную энергетическую волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_explosion_fire;Movement skill that allows the Mecha-Suit to attack with a Fire shockwave that burns enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную огненную волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
gui/menu/inventory/skill_description/dash_explosion_cryo;Movement skill that allows the Mecha-Suit to attack with a Cryo shockwave that slows down enemies and then to dash instantly anywhere within the line of sight.;;Навык движения, который позволяет выпускать из меха-костюма огромную холодную волну и моментально телепортироваться в любую точку в поле зрения.;;;;;;;
;;;;;;;;;;
gui/menu/research/category_new_dash_skills;New Dash Skills;;Новые Скиллы Рывка;;;;;;;
;;;;;;;;;;
gui/menu/research/name/dash_explosion_area_standard;Explosion Dash - Standard;;Взрывной Рывок - Стандартно;;;;;;;
gui/menu/research/name/dash_explosion_area_advanced;Explosion Dash - Advanced;;Взрывной Рывок - Улучшено;;;;;;;
gui/menu/research/name/dash_explosion_area_superior;Explosion Dash - Superior;;Взрывной Рывок - Превосходно;;;;;;;
gui/menu/research/name/dash_explosion_area_extreme;Explosion Dash - Extreme;;Взрывной Рывок - Экстремально;;;;;;;
;;;;;;;;;;
gui/menu/research/description/dash_explosion_area_standard;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_explosion_area_advanced;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_explosion_area_superior;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
gui/menu/research/description/dash_explosion_area_extreme;The aim of this research is to combine Dash and kinetic shockwave to release a kinetic shockwave dealing Area damage before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и ударную волну, чтобы выпускать ударную волну, нанося урон по площади, до телепортирования на короткое расстояние через поле портала.;;;;;;;
;;;;;;;;;;
gui/menu/research/name/dash_explosion_acid_standard;Explosion Dash - Acid - Standard;;Взрывной Рывок - Кислота - Стандартно;;;;;;;
gui/menu/research/name/dash_explosion_acid_advanced;Explosion Dash - Acid - Advanced;;Взрывной Рывок - Кислота - Улучшено;;;;;;;
gui/menu/research/name/dash_explosion_acid_superior;Explosion Dash - Acid - Superior;;Взрывной Рывок - Кислота - Превосходно;;;;;;;
gui/menu/research/name/dash_explosion_acid_extreme;Explosion Dash - Acid - Extreme;;Взрывной Рывок - Кислота - Экстремально;;;;;;;
;;;;;;;;;;
gui/menu/research/description/dash_explosion_acid_standard;The aim of this research is to combine Dash and Acid shockwave to release an Acid shockwave that damages enemies before dashing the very short distance through the Rift field.;;Цель этого исследования — скомбинировать Рывок и кислотную волну, чтобы выпускать кислотную волну, наносящую урон врагам, до телепортирования на короткое расстояние через поле портала.;;;;;;;
