;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/skill_name/teleport_attack_area;Attack Teleport;;Атакующий Телепорт;;;;;传送-杀伤型-爆炸;;
gui/menu/inventory/skill_name/teleport_attack_acid;Attack Teleport - Acid;;Атакующий Телепорт - Кислота;;;;;传送-杀伤型-酸性;;
gui/menu/inventory/skill_name/teleport_attack_energy;Attack Teleport - Energy;;Атакующий Телепорт - Энергия;;;;;传送-杀伤型-能量;;
gui/menu/inventory/skill_name/teleport_attack_fire;Attack Teleport - Fire;;Атакующий Телепорт - Огонь;;;;;传送-杀伤型-燃烧;;
gui/menu/inventory/skill_name/teleport_attack_ice;Attack Teleport - Cryo;;Атакующий Телепорт - Холод;;;;;传送-杀伤型-冰冻;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_emergency_area;Emergency Teleport;;Экстренный Телепорт;;;;;传送-紧急型-爆炸;;
gui/menu/inventory/skill_name/teleport_emergency_acid;Emergency Teleport - Acid;;Экстренный Телепорт - Кислота;;;;;传送-紧急型-酸性;;
gui/menu/inventory/skill_name/teleport_emergency_energy;Emergency Teleport - Energy;;Экстренный Телепорт - Энергия;;;;;传送-紧急型-能量;;
gui/menu/inventory/skill_name/teleport_emergency_fire;Emergency Teleport - Fire;;Экстренный Телепорт - Огонь;;;;;传送-紧急型-燃烧;;
gui/menu/inventory/skill_name/teleport_emergency_ice;Emergency Teleport - Cryo;;Экстренный Телепорт - Холод;;;;;传送-紧急型-冰冻;;
;;;;;;;;;;
gui/menu/inventory/skill_name/teleport_combined_area;Combined Teleport;;Комбинированный Телепорт;;;;;传送-复合型-爆炸;;
gui/menu/inventory/skill_name/teleport_combined_acid;Combined Teleport - Acid;;Комбинированный Телепорт - Кислота;;;;;传送-复合型-酸性;;
gui/menu/inventory/skill_name/teleport_combined_energy;Combined Teleport - Energy;;Комбинированный Телепорт - Энергия;;;;;传送-复合型-能量;;
