;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
ACHIEVEMENTS/achievement_43_desc;Kill 20 canceroths.;Pokonaj 20 cancerothów.;;;;;;击杀20只毒瘤兽。;;
ACHIEVEMENTS/achievement_43_name;They aren’t that tough.;Nie było tak źle.;;;;;;它们并不那么难对付。;;
ACHIEVEMENTS/achievement_44_desc;Destroy 1000 enemies with HCM.;Zniszcz 1000 wrogów za pomocą Wyrzutni HCM.;;;;;;用HCM塔消灭1000个敌人。;;
ACHIEVEMENTS/achievement_44_name;Are we the bad guys now?;A co, jeśli to my jesteśmy tymi złymi?;;;;;;我们现在是坏人了吗？;;
ACHIEVEMENTS/achievement_45_desc;Extract resources from Poogret’s poo – 10 times;Wydobądź surowce z kupy Poogreta 10 razy.;;;;;;从呆萌兽的粪便中提取资源——10次;;
ACHIEVEMENTS/achievement_45_name;For science!;W imię nauki!;;;;;;为了科学！;;
ACHIEVEMENTS/achievement_46_desc;Shred 250 destructible props with a tornado skill.;Zniszcz 250 obiektów za pomocą Tornada.;;;;;;用龙卷风技能粉碎250个可破坏的道具。;;
ACHIEVEMENTS/achievement_46_name;Tornado season;Ależ wieje.;;;;;;龙卷风季节;;
ACHIEVEMENTS/achievement_47_desc;Open 5 Power Wells.;Skorzystaj z 5 Źródeł Mocy.;;;;;;开启5个能量井。;;
ACHIEVEMENTS/achievement_47_name;I am a Superhero now.;Jestem superbohaterem.;;;;;;我现在是超级英雄了。;;
ACHIEVEMENTS/achievement_48_desc;Finish survival mode in the Fungal Swamp biome or the Swamp story campaign.;Ukończ tryb Przetrwania na Grzybowym Bagnie, lub Kampanię Fabularną dodatku Heart of the Swamp.;;;;;;在真菌沼泽生态区或沼泽故事战役中完成生存模式。;;
ACHIEVEMENTS/achievement_48_name;Get out of my swamp!;Wypad z mojego bagna!;;;;;;滚出我的沼泽！;;
BUTTON_confirm_wave;Add Wave;Dodaj falę;;;;;;增加敌军波次;;
BUTTON_Drop;Drop;Upuść;;;;;;丢弃;;
BUTTON_host_game;Host game;Stwórz grę;;;;;;创建游戏;;
BUTTON_join_game;Join game;Dołącz do gry;;;;;;加入游戏;;
BUTTON_multiplayer_game;Multiplayer;Gra sieciowa;;;;;;多人游戏;;
