;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
DIALOG/objective/mech_nest_start_02;I have detected an unusual concentration of creatures near our position. That might be a hostile nest.;Wykryłem podejrzane skupisko stworów w pobliżu naszej pozycji. Możliwe, że to gniazdo obcych.;Обнаружена аномальная концентрация существ вблизи нашей позиции. Это может быть гнездо враждебных форм жизни.;J’ai détecté une concentration inhabituelle de créatures à proximité de notre position. On pourrait avoir affaire à un nid hostile.;Ich habe eine ungewöhnlich hohe Dichte von Kreaturen in der Nähe unserer Position registriert. Das könnte ein feindliches Nest sein.;He detectado una concentración inusual de criaturas cerca de nuestra posición. Debe tratarse de un nido hostil.;Detectei uma concentração incomum de criaturas próximas da sua posição. Pode ser um ninho hostil.;我检测到我们位置附近有异常的生物聚集。这可能是一个敌对巢穴。;付近で生体反応が密集している箇所を感知した。敵性生物の巣である可能性がある。;우리 위치 근처에서 이상한 생물들의 밀집 현상을 감지했습니다. 그곳이 적의 둥지일지도 모릅니다.
DIALOG/objective/mech_nest_start_03;Ashley, my sensors are picking up a lot of movement around a certain point near our location. That could be a hostile nest.;Ashley, moje czujniki wykrywają wzmożony ruch w pobliżu naszej pozycji. To może być gniazdo obcych.;Эшли, мои датчики фиксируют значительное движение в определенной точке поблизости. Это может быть гнездо враждебных существ.;Ashley, mes capteurs ont identifié des mouvements importants autour d’un certain point pas loin de notre emplacement. On pourrait avoir affaire à un nid hostile.;Ashley, meine Sensoren registrieren eine Menge Bewegung in der Nähe unseres Standortes. Das könnte ein feindliches Nest sein.;Ashley, mis sensores han captado mucho movimiento en un punto cercano a nuestra ubicación. Podría tratarse de un nido hostil.;Ashley, meus sensores estão captando muita movimentação ao redor de um ponto próximo à nossa localização. Pode ser um ninho hostil.;阿雪莉，我的传感器探测到我们位置附近某个点周围有很多活动。那可能是一个敌对巢穴。;アシュリー、センサーが付近のポイントを中心に活性している動きを探知している。敵生物の巣かもしれない。;애슐리, 제 센서가 우리 위치 근처의 특정 지점에서 많은 움직임을 감지하고 있습니다. 적의 둥지일 가능성이 있습니다.
DIALOG/objective/ashley_nest_start_02;We should check that out. I'm marking that spot on our map.;Powinniśmy to sprawdzić. Zaznaczam to miejsce na naszej mapie.;Нужно проверить это место. Я отмечаю точку на карте.;On ferait mieux d’aller voir ça. Je marque ce point sur notre carte.;Das sollten wir uns ansehen. Ich markiere den Ort auf unserer Karte.;Deberíamos comprobarlo. Te marco la ubicación en el mapa.;Devemos checar isso. Tô marcando esse local no nosso mapa.;我们应该检查一下。我正在地图上标记那个地点。;確かめたほうが良さそうね。マップに地点をマークしたわ。;확인해 봐야겠어. 해당 지점을 지도에 표시해 둘게.
DIALOG/objective/ashley_nest_start_03;Let's check that area as soon as possible. We don't want this to grow into something bigger.;Sprawdźmy ten obszar tak szybko, jak to możliwe. Nie chcemy, by to przerodziło się w coś większego.;Проверим эту область как можно скорее. Нужно действовать до того, как угроза станет серьезнее.;Allons voir cette zone le plus vite possible. Faudrait pas que ça prenne de l’ampleur.;Lass uns diesen Bereich so schnell wie möglich überprüfen. Wir wollen nicht, dass das Ganze noch größer wird.;Comprobemos esa zona cuanto antes. No podemos permitir que sus números crezcan aún más.;Vamos conferir essa área o quanto antes. Não queremos que isso acabe crescendo.;我们应尽快检查该区域。我们不希望这发展成更大的威胁;なるべく早く調査に行きましょう。これ以上大きくなられたら問題よ。;해당 지역을 가능한 한 빨리 확인해보자. 이게 더 큰 문제로 커지면 안 돼.
DIALOG/objective/mech_nest_encounter_02;This is a hostile nest, Ashley. We have to destroy it to stop these creatures from attacking us.;To gniazdo obcych, Ashley. Musimy je zniszczyć, aby powstrzymać ataki tych stworzeń.;Это гнездо враждебных существ, Эшли. Нужно уничтожить его, чтобы эти существа на нас не напали.;C’est un nid hostile, Ashley. Faut qu’on le détruise pour pas que ces créatures nous attaquent.;Das ist ein feindliches Nest, Ashley. Wir müssen es zerstören, damit diese Kreaturen uns nicht angreifen.;Es un nido hostil, Ashley. Tenemos que destruirlo para evitar que estas criaturas nos ataquen.;Isso é um ninho hostil, Ashley. Temos que destruí-lo para impedir essas criaturas de nos atacarem.;这是一个敌对巢穴，阿雪莉。我们必须摧毁它以阻止这些生物攻击我们。;これは敵性生物の巣だ、アシュリー。破壊して我々への攻撃を食い止める必要がある。;여기는 적의 둥지입니다, 애슐리. 이 생물들이 우리를 공격하지 못하도록 이 둥지를 파괴해야 합니다.
DIALOG/objective/mech_nest_encounter_03;Warning. We are approaching a large nest. Expect hostile creatures around it.;Ostrzeżenie. Zbliżamy się do dużego gniazda. Spodziewaj się wrogich stworzeń wokół niego.;Внимание! Мы приближаемся к большому гнезду. Будь готова к появлению враждебных существ.;Avertissement. Nous approchons un grand nid. Attendez-vous à rencontrer des créatures hostiles dans ses environs.;Achtung. Wir nähern uns einem großen Nest. Rechne mit feindlichen Kreaturen in der Nähe.;Alerta. Nos aproximamos a un nido muy grande. Se espera la presencia de criaturas hostiles.;Aviso. Estamos nos aproximando de um grande ninho. Prepare-se para criaturas hostis nas proximidades.;警告。我们正在接近一个大型巢穴。预计周围会有敌对生物。;警告。大型の巣に近づいている。敵性クリーチャーがいることが予想される。;경고. 큰 둥지에 접근 중입니다. 주변에 적대적인 생물들이 있을 수 있습니다.
DIALOG/objective/ashley_nest_encounter_02;Let's deal with this quickly. We can't let this infestation spread.;Zajmijmy się tym szybko. Nie możemy pozwolić, by ta zaraza się rozprzestrzeniła.;Не будем медлить. Мы не можем позволить этой заразе распространиться.;Faut qu’on s’en occupe vite. On peut pas laisser cette invasion se répandre.;Wir müssen uns schnell darum kümmern. Wir können nicht zulassen, dass sich diese Bedrohung ausbreitet.;Encarguémonos de esto rápido, no podemos dejar que la plaga se extienda.;Vamos cuidar disso rápido. Não podemos deixar essa infestação se alastrar.;让我们快速处理这件事。我们不能让这种感染蔓延。;早めに終わらせましょう。これ以上増殖させるわけにはいかないわ。;이 문제를 빨리 해결하자. 더 이상 확산되는 것을 두고 볼 수는 없어.
DIALOG/objective/ashley_nest_encounter_03;We have to destroy it to stop further attacks. Let's be quick about it.;Musimy je zniszczyć, aby powstrzymać dalsze ataki. Pospieszmy się.;Мы должны уничтожить его, чтобы остановить дальнейшие атаки. Поторопимся.;On doit détruire le nid pour éviter des attaques futures. Perdons pas de temps.;Wir müssen es zerstören, um weitere Angriffe zu verhindern. Beeilen wir uns lieber.;Tenemos que destruirlo para prevenir futuros ataques. Hagámoslo rápido.;Temos que destruí-lo pra impedir outros ataques. Vamos rápido com isso.;我们必须摧毁它以阻止进一步的攻击。让我们速战速决。;私達への攻撃を阻止するために破壊する必要がある。迅速に対応しましょう。;둥지를 파괴해야 더 이상의 공격을 막을 수 있지. 빨리 처리하자고.
DIALOG/objective/mech_nest_end_02;Hostile nest destroyed. Threat eliminated.;Wrogie gniazdo zniszczone. Zagrożenie wyeliminowane.;Гнездо враждебных существ уничтожено. Угроза устранена.;Nid hostile détruit. Menace éliminée.;Feindliches Nest zerstört. Bedrohung beseitigt.;Nido hostil destruido. Amenaza eliminada.;Ninho hostil destruído. Ameaça eliminada.;敌对巢穴已摧毁。威胁已消除。;敵性生物の巣、破壊完了。脅威は排除された。;적 둥지가 파괴되었습니다. 위험 요소 처리 완료.
DIALOG/objective/mech_nest_end_03;Objective complete, Ashley. This will stop the attacks from this area.;Cel osiągnięty, Ashley. To powstrzyma ataki z tego obszaru.;Задача выполнена, Эшли. Теперь атаки этой области прекратятся.;Objectif atteint, Ashley. Y aura plus d’attaques venant de cette zone.;Aufgabe erfüllt, Ashley. Aus diesem Gebiet werden wir nicht mehr angegriffen.;Objetivo completado, Ashley. Esto detendrá los ataques de esta área.;Objetivo cumprido, Ashley. Isso cessará os ataques desta área.;目标完成，阿雪莉。这将阻止该地区的攻击。;目標達成だ、アシュリー。これでこのエリアからの攻撃は止むだろう。;목표 달성입니다, 애슐리. 이걸로 이 지역에서 오는 공격은 멈추겠군요.
