;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
DIALOG/generic/mech_bioscanner_01;The Molecular Bioscanner tool is now online and fully operational. We can start gathering information about the local fauna and flora species.;;;;;;;;;
DIALOG/generic/mech_new_biome_01;A new biome is now available for survey with the Orbital Scanner.;;;;;;;;;
DIALOG/generic/mech_armory_construction_start_01;Armory construction started.;;;;;;;;;
DIALOG/generic/mech_comms_hub_construction_start_01;Communications Hub construction started.;;;;;;;;;
DIALOG/generic/mech_alien_lab_construction_end_01;Alien Research Laboratory construction finished.;;;;;;;;;
DIALOG/generic/mech_orbital_scanner_construction_start_01;Orbital Scanner construction is in progress.;;;;;;;;;
DIALOG/generic/mech_orbital_scanner_construction_end_01;Orbital Scanner construction finished. We can now use it to Rift Jump to new locations by selecting new mission coordinates through the Orbital Scanner interface.;;;;;;;;;
DIALOG/generic/mech_prime_rift_construction_start_01;Initiating construction of the Prime Rift Station.;;;;;;;;;
DIALOG/generic/mech_energy_pylon_construction_start_01;Energy Pylon construction started.;;;;;;;;;
DIALOG/story/campaign/mech_ice_biome_unlock_01;Ashley, I have made an interesting discovery. Orbital Scanner data suggests that we could find rich Palladium deposits in Galatea's northern Cryo Fields.;;;;;;;;;
DIALOG/story/campaign/ashley_ice_biome_unlock_01;Oh, that might be a more friendly biome to visit than the Acidic Plains. Did you find any particular location that we should scout there?;;;;;;;;;
DIALOG/story/campaign/mech_ice_biome_unlock_02;No, but you can search for promising mission areas within the northern Cryo Fields biome directly through the Orbital Scanner Interface.;;;;;;;;;
DIALOG/story/ice/mech_first_mission_landing_01;Rift jump successful. Extreme weather conditions detected. Outside temperatures in this area can dip below the 170 Kelvin threshold. Be careful, Ashley. Such low temperatures may result in decreased structural integrity of our buildings.;;;;;;;;;
DIALOG/story/ice/ashley_first_mission_landing_01;Understood. The local fauna may prove to be more dangerous than we could otherwise expect it to be. Lets see what else this biome has to offer.;;;;;;;;;
DIALOG/weather/mech_heavy_snow_warning_01;Atmospheric cooling detected. Snowfall is likely.;;;;;;;;;
DIALOG/weather/mech_heavy_snow_warning_02;Incoming snow clouds detected. Wind speeds are rising slightly.;;;;;;;;;
DIALOG/weather/ashley_heavy_snow_warning_01;The air’s cooling off. Feels like snow’s coming.;;;;;;;;;
DIALOG/weather/ashley_heavy_snow_warning_02;Clouds are rolling in, and the wind’s picking up a bit.;;;;;;;;;
DIALOG/weather/mech_heavy_snow_start_01;Light snowfall confirmed. Environmental conditions remain within safe limits.;;;;;;;;;
DIALOG/weather/mech_heavy_snow_start_02;Snowfall ongoing. Moderate winds detected.;;;;;;;;;
DIALOG/weather/ashley_heavy_snow_start_01;Light snow and some wind. Could be worse.;;;;;;;;;
DIALOG/weather/ashley_heavy_snow_start_02;Snow’s falling now. Wind’s kicking up, but it’s manageable.;;;;;;;;;
DIALOG/weather/mech_heavy_snow_end_01;Precipitation has stopped. Environmental conditions stabilizing.;;;;;;;;;
DIALOG/weather/mech_heavy_snow_end_02;Snowfall concluded. Visibility and wind levels returning to normal.;;;;;;;;;
DIALOG/weather/ashley_heavy_snow_end_01;Snow’s stopped. Looks calm again.;;;;;;;;;
DIALOG/weather/ashley_heavy_snow_end_02;Looks like the weather’s clearing up.;;;;;;;;;
DIALOG/weather/mech_ice_falling_rocks_warning_01;Warning. Super-dense cloud systems detected. High-mass ice fragments likely to fall.;;;;;;;;;
DIALOG/weather/mech_ice_falling_rocks_warning_02;Warning. Atmospheric matter is condensing into unstable ice structures above the area.;;;;;;;;;
