;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/objective_name/dlc_2/campaign/global.caverns_main;Anoryx Investigation:;Badanie Anoryksu:;Исследование анорикса:;Enquête sur les anoryx :;Untersuchung des Anoryx:;Investigación de anoryx:;Investigação do Anoryx:;阿诺历克斯调查：;アノリクス調査：;아노릭스 조사:
gui/hud/objective_name/dlc_2/campaign/global.caverns_jungle_entrance;Travel to the Necrodon nest.;Udaj się do gniazda Necrodonów.;Отправьтесь в гнездо некродонов.;Voyagez jusqu'au nid de nécrodon.;Reise zum Nekrodonnest.;Ve al nido de necrodon.;Viaje para o ninho de Necrodons.;前往亡灵召唤者的巢穴。;ネクロドンの巣に向かう。;네크로돈의 서식지로 이동하세요.
gui/hud/objective_name/dlc_2/campaign/global.caverns_entrance;Use the Mining Elevator to travel underground.;Użyj Windy Górniczej, aby udać się pod ziemię.;Используйте буровой лифт, чтобы спуститься под землю.;Utilisez l'ascenseur minier pour aller sous terre.;Benutze das Minenförderwerk, um unter Tage zu gehen.;Usa el ascensor minero para alcanzar la zona subterránea.;Use o Elevador de Mineração para viajar para o subterrâneo.;使用挖掘电梯前往地下。;採掘エレベーターを使って地下に向かう。;채굴 엘리베이터를 사용해 지하로 이동하세요.
gui/hud/objective_name/dlc_2/campaign/global.caverns_outpost;Travel to the Crystal Cavern.;Udaj się do Kryształowej Jaskini.;Отправьтесь в Кристаллическую пещеру.;Voyagez jusqu'aux Cavernes de cristal.;Reise zur Kristallgrotte.;Ve a la caverna de cristal.;Viaje para as Cavernas de Cristal.;前往水晶之穴。;結晶洞窟に向かう。;크리스털 동굴로 이동하세요.
gui/hud/objective_name/dlc_2/campaign/global.caverns_exploration;Search for Anoryx in deeper caves.;Poszukaj Anoryxu w głębokich jaskiniach.;Отправьтесь на поиски анорикса в глубине пещер.;Cherchez de l'anoryx dans les cavernes plus profondes.;Suche in tieferen Höhlen nach Anoryx.;Busca anoryx en cuevas más profundas.;Procure Anoryx em cavernas mais profundas.;在更深的洞穴中搜索阿诺历克斯。;洞窟の深部でアノリクスを探す。;깊은 동굴에서 아노릭스를 찾으세요.
gui/hud/objective_name/dlc_2/campaign/global.caverns_outpost_stage_2;Return to the Crystal Caverns outpost.;Wróć do posterunku w Kryształowych Jaskiniach.;Вернитесь на аванпост в Кристаллических пещерах.;Retournez à l'avant-poste des Cavernes de cristal.;Kehre zum Außenposten der Kristallgrotten zurück.;Regresa al puesto remoto de la caverna de cristal.;Volte para o Posto Avançado das Cavernas de Cristal.;返回水晶之穴哨站。;結晶洞窟の前哨基地に向かう。;크리스털 동굴 전초기지로 돌아가세요.
gui/hud/objective_name/dlc_2/campaign/global.caverns_tunnel;Investigate the tunnel under the Crystal Cavern.;Zbadaj tunel pod Kryształową Jaskinią.;Исследуйте туннель под Кристаллической пещерой.;Inspectez le tunnel sous les Cavernes de cristal.;Untersuche den Tunnel unter der Kristallgrotte.;Investiga el túnel bajo la caverna de cristal.;Investigue o túnel sob as Cavernas de Cristal.;调查水晶之穴下的隧道。;結晶洞窟の下にあるトンネルを調査する。;크리스털 동굴 하부의 터널을 조사하세요.
gui/hud/objective_name/dlc_2/campaign/global.caverns_nest;Enter the Anoryx Creature's nest.;Wejdź do gniazda Anoryksowego stworzenia.;Войдите в гнездо анориксового существа.;Entrez dans le nid de la créature d'anoryx.;Betritt das Nest der Anoryx-Kreatur.;Accede al nido de la criatura de anoryx.;Entre no ninho da criatura de Anoryx.;进入阿诺历克斯生物的巢穴。;アノリクス生物の巣に入る。;아노릭스 생명체의 서식지에 들어가세요.
gui/hud/objective_name/dlc_2/headquarters/caverns.start;Investigate the energy emission.;Zbadaj emisję energii.;Исследуйте излучение энергии.;Examinez l'émission d'énergie.;Untersuche die Energieemission.;Investiga la emisión de energía.;Investigue a emissão de energia.;调查能量排放。;エネルギー放出を調査する。;에너지 방출을 조사하세요.
gui/hud/objective_name/dlc_2/jungle_entrance/nest;Track the seismic anomaly.;Śledź anomalię sejsmiczną.;Найдите сейсмическую аномалию.;Localisez l'anomalie sismique.;Spüre die seismische Anomalie auf.;Rastrea la anomalía sísmica.;Rastreie a anomalia sísmica.;追踪地震异常。;地震アノマリーを追跡する。;이상 지진 현상을 추적하세요.
