;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/objective_name/dlc_3/campaign/global.swamp_main;Fungal Swamp Investigation:;Badania na Grzybowych Bagnach:;Исследование грибной трясины:;Enquête dans le Marais fongique :;Untersuchung des Pilzsumpfs:;Investigación en la Ciénaga fúngica:;Investigue o Pântano Fúngico.;真菌沼泽调查：;「真菌の沼」の調査：;균류 늪지 조사:
gui/hud/objective_name/dlc_3/campaign/global.swamp_outpost_travel;Travel to the Fungal Swamp.;Udaj się do Grybowego Bagna.;Отправьтесь в грибную трясину.;Voyagez jusqu’au Marais fongique.;Reise zum Pilzsumpf.;Viaja a la Ciénaga fúngica.;Viaje para o Pântano Fúngico.;前往真菌沼泽。;「真菌の沼」に向かう。;균류 늪지로 이동하세요.
gui/hud/objective_name/dlc_3/campaign/global.swamp_poogret_harvest;Travel to the Inner Swamp.;Udaj się do Głębokich Bagien.;Отправьтесь во внутреннюю трясину.;Voyagez jusqu’au cœur du Marais.;Reise ins Innere des Pilzsumpfs.;Viaja a la Ciénaga interior.;Viaje para o Pântano Interno.;前往内沼泽。;「沼深部」に向かう。;더 깊은 늪지로 이동하세요.
gui/hud/objective_name/dlc_3/campaign/global.swamp_outpost_stage_2;Return to the Fungal Swamp Outpost.;Wróć do bazy na Grzybowych Bagnach.;Вернитесь на аванпост грибной трясины.;Retournez à l’avant-poste du Marais fongique.;Kehre zum Außenposten am Pilzsumpf zurück.;Regresa al puesto remoto de la Ciénaga fúngica.;Retorne para o Posto Avançado do Pântano Fúngico.;返回真菌沼泽前哨站。;「真菌の沼の前哨基地」へ戻る。;균류 늪지 전초기지로 돌아가세요.
gui/hud/objective_name/dlc_3/campaign/global.swamp_thicket;Travel to the Fungal Thicket.;Udaj się do Grzybowej Gęstwiny.;Отправьтесь в грибные заросли.;Voyagez jusqu’au Fourré fongique.;Reise zum Pilzdickicht.;Viaja al Matorral fúngico.;Viaje para o Matagal Fúngico.;前往真菌沼泽。;「真菌の雑木林」に向かう。;균류 잡목 숲으로 이동하세요.
gui/hud/objective_name/dlc_3/campaign/global.swamp_thicket_exit;Enter the crater in the Fungal Thicket.;Wejdź do krateru w Grzybowej Gęstwinie.;Войдите в кратер в грибных зарослях.;Entrez dans le cratère du Fourré fongique.;Begib dich in den Krater im Pilzdickicht.;Entra en el cráter del Matorral fúngico.;Entre na cratera no Matagal Fúngico.;进入真菌沼泽的火山口。;「真菌の雑木林」にあるクレーターに入る。;균류 잡목 숲의 크레이터로 들어가세요.
gui/hud/objective_name/dlc_3/campaign/global.swamp_outpost_stage_3;Return to the Fungal Swamp Outpost.;Wróć do bazy na Grzybowych Bagnach.;Вернитесь на аванпост грибной трясины.;Retournez à l’avant-poste du Marais fongique.;Kehre zum Außenposten am Pilzsumpf zurück.;Regresa al puesto remoto de la Ciénaga fúngica.;Retorne para o Posto Avançado do Pântano Fúngico.;返回真菌沼泽前哨站。;「真菌の沼の前哨基地」へ戻る。;균류 늪지 전초기지로 돌아가세요.
gui/hud/objective_name/dlc_3/campaign/global.swamp_forest;Travel to the Fungal Forest.;Udaj się do Grzybowego Lasu.;Отправьтесь в грибной лес.;Voyagez jusqu’à la Forêt fongique.;Reise zum Pilzwald.;Viaja al Bosque fúngico.;Viaje para a Floresta Fúngica.;前往真菌森林。;「真菌の森」に向かう。;균류 숲으로 이동하세요.
gui/hud/objective_name/dlc_3/campaign/global.swamp_outpost_stage_4;Return to the Fungal Swamp Outpost.;Wróć do bazy na Grzybowych Bagnach.;Вернитесь на аванпост грибной трясины.;Retournez à l’avant-poste du Marais fongique.;Kehre zum Außenposten am Pilzsumpf zurück.;Regresa al puesto remoto de la Ciénaga fúngica.;Retorne para o Posto Avançado do Pântano Fúngico.;返回真菌沼泽前哨站。;「真菌の沼の前哨基地」へ戻る。;균류 늪지 전초기지로 돌아가세요.
DIALOG/story/dlc_3/ashley_headquarters_intro_01;Mr. Riggs, are you seeing this? The entire horizon is turning purple.;Panie Riggs, widzisz to? Niebo na horyzoncie przybrało fioletowy kolor.;Мистер Ригз, я одна это вижу? Весь горизонт затянуло фиолетовой дымкой.;M. Riggs, est-ce que tu vois ça ? Le ciel entier est devenu violet.;Mr. Riggs, siehst du das? Der ganze Horizont färbt sich lila.;Sr. Riggs, ¿lo estás viendo? El horizonte se está poniendo morado.;Sr. Riggs, você está vendo isso? O horizonte todo está ficando roxo.;里格斯先生，你看到了吗？整个地平线都变成紫色了。;見えてる、ミスター・リグス？地平線が紫色に変わってる。;릭스, 보고 있어? 지평선 전체가 보라색으로 변하고 있어.
