;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
launcher/button/default;Default;Domyślne;По умолчанию;Par défaut;Standard;Por defecto;Padrão;默认;デフォルト;기본
launcher/button/play;Play;Graj;Играть;Jouer;Spielen;Jugar;Jogar;开始游戏;プレイ;플레이
launcher/button/save;Save;Zapisz;Save;Save;Save;Save;Save;保存设置;設定を保存する;Save
launcher/label/ambient_occlusion;Ambient occlusion;Okluzja Otoczenia;Объемный свет;Occlusion ambiante;Umgebungsverdeckung;Oclusión ambiental;Oclusão de ambiente;环境光遮蔽;アンビエント　オクルージョン;주변폐색
launcher/label/ambient_occlusion_ray;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion;Raytraced ambient occlusion
launcher/label/anti_aliasing;Anti-aliasing;Wygładzanie Krawędzi;Сглаживание;Anticrénelage;Antialiasing;Anti-aliasing;Antisserrilhamento;防失真;アンチエイリアス;안티 앨리어싱
launcher/label/cas;FidelityFX Sharpening;Wyostrzanie FidelityFX;Усиление резкости FidelityFX;FidelityFX Sharpening;FidelityFX Sharpening;Mejora Fidelity FX;Nitidez do FidelityFX;FidelityFX锐化;FidelityFXシャープニング;FidelityFX 샤프닝
launcher/label/display_adapter;Display adapter;Display adapter;Display adapter;Display adapter;Display adapter;Display adapter;Display adapter;Display adapter;Display adapter;Display adapter
launcher/label/display_device;Monitors;Monitory;Мониторы;Moniteurs;Monitore;Monitores;Monitores;显示器;モニター;모니터
launcher/label/dynamic_vegetation;Dynamic Vegetation;Dynamiczna Roślinność;Динамическая растительность;Végétation dynamique;Dynamische Vegetation;Vegetación dinámica;Vegetação Dinâmica;动态植被;ダイナミックベジテーション;식물 움직임
launcher/label/full_screen;Full Screen;Pełny Ekran;Полный экран;Plein écran;Vollbildschirm;Pantalla completa;Tela inteira;全屏;全画面;전체 화면
launcher/label/gpu_dump;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps;[DEBUG] DirectX 12 GPU Crash Dumps
launcher/label/gpu_validation;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode;[DEBUG] DirectX 12 Diagnostic Mode
launcher/label/lamp_context_support;RGB hardware effects;Sprzętowe Efekty RGB;Аппаратные эффекты RGB;Effets RVB de hardware;RGB-Hardware-Effekte;Efectos del hardware RGB;Efeitos em RGB do hardware;RGB硬件效果;RGBハードウェア効果;RGB 하드웨어 효과
launcher/label/languages;Language;Język;Язык;Langue;Sprache;Idioma;Idioma;语言;言語;언어
launcher/label/render_system;Render system;Render system;Render system;Render system;Render system;Render system;Render system;Render system;Render system;Render system
launcher/label/residency_manager;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency;[DEBUG] DirectX 12 Disable Residency
launcher/label/resolution;Resolution;Rozdzielczość;Разрешение;Résolution;Auflösung;Resolución;Resolução;分辨率;解像度;해상도
