;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
monster_name/arachnoid_boss;Arachnoid Boss;Arachnoid Boss;Arachnoid Boss;Arachnoid Boss;Arachnoid Boss;Arachnoid Boss;Arachnoid Boss;王者蛛形蝎;Arachnoid Boss;Arachnoid Boss
monster_name/arachnoid;Arachnoid;Arachnoid;Arachnoid;Arachnoid;Arachnoid;Arachnoid;Arachnoid;蛛形蝎;Arachnoid;Arachnoid
monster_name/arachnoid_alpha;Arachnoid Alpha;Arachnoid Alpha;Arachnoid Alpha;Arachnoid Alpha;Arachnoid Alpha;Arachnoid Alpha;Arachnoid Alpha;强者蛛形蝎;Arachnoid Alpha;Arachnoid Alpha
monster_name/arachnoid_elite;Arachnoid Elite;Arachnoid Elite;Arachnoid Elite;Arachnoid Elite;Arachnoid Elite;Arachnoid Elite;Arachnoid Elite;精英蛛形蝎;Arachnoid Elite;Arachnoid Elite
monster_name/arachnoid_ultra;Arachnoid Ultra;Arachnoid Ultra;Arachnoid Ultra;Arachnoid Ultra;Arachnoid Ultra;Arachnoid Ultra;Arachnoid Ultra;究极蛛形蝎;Arachnoid Ultra;Arachnoid Ultra
monster_name/baxmoth;Baxmoth;Baxmoth;Baxmoth;Baxmoth;Baxmoth;Baxmoth;Baxmoth;高脚蛾;Baxmoth;Baxmoth
monster_name/baxmoth_alpha;Baxmoth Alpha;Baxmoth Alpha;Baxmoth Alpha;Baxmoth Alpha;Baxmoth Alpha;Baxmoth Alpha;Baxmoth Alpha;强者高脚蛾;Baxmoth Alpha;Baxmoth Alpha
monster_name/baxmoth_ultra;Baxmoth Ultra;Baxmoth Ultra;Baxmoth Ultra;Baxmoth Ultra;Baxmoth Ultra;Baxmoth Ultra;Baxmoth Ultra;究极高脚蛾;Baxmoth Ultra;Baxmoth Ultra
monster_name/bitrid;Bitrid;Bitrid;Bitrid;Bitrid;Bitrid;Bitrid;Bitrid;异蜂;Bitrid;Bitrid
monster_name/bitrid_alpha;Bitrid Alpha;Bitrid Alpha;Bitrid Alpha;Bitrid Alpha;Bitrid Alpha;Bitrid Alpha;Bitrid Alpha;强者异蜂;Bitrid Alpha;Bitrid Alpha
monster_name/bitrid_ultra;Bitrid Ultra;Bitrid Ultra;Bitrid Ultra;Bitrid Ultra;Bitrid Ultra;Bitrid Ultra;Bitrid Ultra;究极异蜂;Bitrid Ultra;Bitrid Ultra
monster_name/bomogan;Bomogan;Bomogan;Bomogan;Bomogan;Bomogan;Bomogan;Bomogan;投爆蛙;Bomogan;Bomogan
monster_name/bomogan_alpha;Bomogan Alpha;Bomogan Alpha;Bomogan Alpha;Bomogan Alpha;Bomogan Alpha;Bomogan Alpha;Bomogan Alpha;强者投爆蛙;Bomogan Alpha;Bomogan Alpha
monster_name/bomogan_ultra;Bomogan Ultra;Bomogan Ultra;Bomogan Ultra;Bomogan Ultra;Bomogan Ultra;Bomogan Ultra;Bomogan Ultra;究极投爆蛙;Bomogan Ultra;Bomogan Ultra
monster_name/canoptrix;Canoptrix;Canoptrix;Canoptrix;Canoptrix;Canoptrix;Canoptrix;Canoptrix;赤甲兽;Canoptrix;Canoptrix
monster_name/canoptrix_alpha;Canoptrix Alpha;Canoptrix Alpha;Canoptrix Alpha;Canoptrix Alpha;Canoptrix Alpha;Canoptrix Alpha;Canoptrix Alpha;强者赤甲兽;Canoptrix Alpha;Canoptrix Alpha
monster_name/canoptrix_ultra;Canoptrix Ultra;Canoptrix Ultra;Canoptrix Ultra;Canoptrix Ultra;Canoptrix Ultra;Canoptrix Ultra;Canoptrix Ultra;究极赤甲兽;Canoptrix Ultra;Canoptrix Ultra
monster_name/carnicinth;Carnicinth;Carnicinth;Carnicinth;Carnicinth;Carnicinth;Carnicinth;Carnicinth;捕食草;Carnicinth;Carnicinth
monster_name/carnicinth_alpha;Carnicinth Alpha;Carnicinth Alpha;Carnicinth Alpha;Carnicinth Alpha;Carnicinth Alpha;Carnicinth Alpha;Carnicinth Alpha;强者捕食草;Carnicinth Alpha;Carnicinth Alpha
monster_name/carnicinth_ultra;Carnicinth Ultra;Carnicinth Ultra;Carnicinth Ultra;Carnicinth Ultra;Carnicinth Ultra;Carnicinth Ultra;Carnicinth Ultra;究极捕食草;Carnicinth Ultra;Carnicinth Ultra
