;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/journal_content;<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content};<style="${title_style}">${title}</style> ${content}
gui/menu/research/name_ammo_and_equipment_production_lvl_2;${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl2}
gui/menu/research/name_ammo_and_equipment_production_lvl_3;${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3};${gui/menu/research/name_ammo_and_equipment_production} ${COMMON_postfix_lvl3}
gui/menu/research/name_factories_lvl_2;${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2};${gui/menu/research/name_factories} ${COMMON_postfix_lvl2}
gui/menu/research/name_factories_lvl_3;${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3};${gui/menu/research/name_factories} ${COMMON_postfix_lvl3}
gui/menu/research/name_gas_power_lvl_2;${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl2}
gui/menu/research/name_gas_power_lvl_3;${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3};${gui/menu/research/name_gas_power} ${COMMON_postfix_lvl3}
gui/menu/research/name_instant_repair_lvl_2;${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl2}
gui/menu/research/name_instant_repair_lvl_3;${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3};${gui/menu/research/name_instant_repair} ${COMMON_postfix_lvl3}
gui/menu/research/name_liquid_resources_transport_lvl_2;${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2};${gui/menu/research/name_liquid_resources_transport} ${COMMON_postfix_lvl2}
