items/upgrades/anti_corrosive_armor_advanced_item
{
	EntityModDesc
	{
		boost_values
		{
			resistance_acid "17,20"
		}

		entity_mods
		{
			health "15.000"
			health_regen "2.500"
			forcefield "22.000"
			forcefield_regen_cooldown "-10.000%"
			reflect_damage "6.000%"
			resistance_all "6.000%"
			resistance_physical "10.000%"
			resistance_fire "10.000%"
			resistance_energy "10.000%"
			resistance_acid "15.000%"
			resistance_cryo "10.000%"
			resistance_area "10.000%"
		}

		mod_flags
		{
			health_regen "random"
			forcefield_regen "random"
			forcefield_regen_cooldown "random"
			reflect_damage "random"
			resistance_all "random"
			resistance_physical "random"
			resistance_fire "random"
			resistance_energy "random"
			resistance_cryo "random"
			resistance_area "random"
		}

		random_max_values
		{
			health_regen "3.5"
			forcefield_regen_cooldown "0.819999993"
			reflect_damage "1.08000004"
			resistance_all "1.09000003"
			resistance_physical "1.13999999"
			resistance_fire "1.13999999"
			resistance_energy "1.13999999"
			resistance_cryo "1.13999999"
			resistance_area "1.13999999"
		}

		rarity "ADVANCED"
	}

}

items/upgrades/anti_corrosive_armor_extreme_item
{
	EntityModDesc
	{
		boost_values
		{
			resistance_acid "27,30"
		}

		entity_mods
		{
			health "25.000"
			health_regen "3.500"
			forcefield "37.000"
			forcefield_regen_cooldown "-12.000%"
			reflect_damage "8.000%"
			resistance_all "10.000%"
			resistance_physical "15.000%"
			resistance_fire "15.000%"
			resistance_energy "15.000%"
			resistance_acid "25.000%"
			resistance_cryo "15.000%"
			resistance_area "15.000%"
		}

		mod_flags
		{
			health_regen "random"
			forcefield_regen "random"
			forcefield_regen_cooldown "random"
			reflect_damage "random"
			resistance_all "random"
			resistance_physical "random"
			resistance_fire "random"
			resistance_energy "random"
			resistance_cryo "random"
			resistance_area "random"
		}

		random_max_values
		{
			health_regen "4.5"
			forcefield_regen_cooldown "0.779999971"
			reflect_damage "1.10000002"
			resistance_all "1.13"
			resistance_physical "1.24000001"
			resistance_fire "1.24000001"
			resistance_energy "1.24000001"
			resistance_cryo "1.24000001"
			resistance_area "1.24000001"
		}

		rarity "EXTREME"
	}

}

items/upgrades/anti_corrosive_armor_standard_item
{
	EntityModDesc
	{
		boost_values
		{
			resistance_acid "12,15"
		}

		entity_mods
		{
			health "10.000"
			health_regen "2.000"
			forcefield "15.000"
			forcefield_regen_cooldown "-9.000%"
			reflect_damage "5.000%"
			resistance_all "4.000%"
			resistance_physical "7.000%"
			resistance_fire "7.000%"
			resistance_energy "7.000%"
			resistance_acid "10.000%"
			resistance_cryo "7.000%"
			resistance_area "7.000%"
		}

		mod_flags
		{
			health_regen "random"
			forcefield_regen "random"
			forcefield_regen_cooldown "random"
			reflect_damage "random"
			resistance_all "random"
