;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/power_wells_preserve;Power Wells Preserve Tool;;Инструмент активации био-аномалий;;;;;;;
gui/hud/building_description/power_wells_preserve;This tool allows you to preserve selected Power Wells.;;Этот инструмент позволяет активировать выбранные био-аномалии.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/power_wells_respawn;Power Wells Respawn Tool;;Инструмент активации био-аномалий;;;;;;;
gui/hud/building_description/power_wells_respawn;This tool allows you to Respawn Power Wells.;;Этот инструмент позволяет активировать выбранные био-аномалии.;;;;;;;
;;;;;;;;;;
gui/hud/power_wells_tools/no_stored_power_wells;No Stored Power Wells.\nUse Power Wells Store Tool.;;Здание на улучшение не выбрано. Используйте инструмент выбора здания на улучшение.;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
