;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/repair_all_map_tool;Repair All Buildings Tool;;Инструмент ремонта всех зданий;;;;;;;
gui/hud/building_description/repair_all_map_tool;This tool allows Mr. Riggs to enter building repair mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/repair_all_map_picker_tool;Building to Repair Picker Tool;;Инструмент выбора здания на ремонт;;;;;;;
gui/hud/building_description/repair_all_map_picker_tool;This tool allows you to select building to repair.;;Этот инструмент позволяет выбрать здание на ремонт.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/repair_all_map_repairer_tool;Repair All Picked Buildings Tool;;Инструмент ремонта всех определенных зданий;;;;;;;
gui/hud/building_description/repair_all_map_repairer_tool;This tool allows Mr. Riggs to enter building repair mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all picked buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все определенные постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/repair_all_map_cat_picker_tool;Building Category to Repair Picker Tool;;Инструмент выбора категории зданий на ремонт;;;;;;;
gui/hud/building_description/repair_all_map_cat_picker_tool;This tool allows you to select building category to repair.;;Этот инструмент позволяет выбрать категорию зданий на ремонт.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/repair_all_map_cat_repairer_tool;Repair All Buildings of Category Tool;;Инструмент ремонта всех зданий по категории;;;;;;;
gui/hud/building_description/repair_all_map_cat_repairer_tool;This tool allows Mr. Riggs to enter building repair mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all buildings of the category over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки категории на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/repair_all_map/building_not_selected;The building for repair is not selected. Use the Building to Repair Picker Tool.;;Здание на ремонт не выбрано. Используйте инструмент выбора здания на ремонт.;;;;;;;
gui/hud/repair_all_map/building_category_not_selected;The building category for repair is not selected. Use the Building Category to Repair Picker Tool.;;Категория зданий на ремонт не выбрана. Используйте инструмент выбора категории зданий на ремонт.;;;;;;;
;;;;;;;;;;
gui/hud/repair_all_map/building_group;Buildings Group;;Группа зданий;;;;;;;
