;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/skill_name/rift_portal_temporary;Temporary Rift Portal;;Временный Рифт-Портал;;;;;;;
gui/menu/inventory/skill_description/rift_portal_temporary;The skill creates a temporary rift in spacetime allowing immediate travel to its location.;;Скилл создает временный рифт–разрыв в пространстве-времени, позволяющий мгновенно переместиться к его местоположению.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/rift_portal_personal;Personal Rift Portal;;Персональный Рифт-Портал;;;;;;;
gui/menu/inventory/skill_description/rift_portal_personal;The skill creates a personal rift in spacetime allowing immediate travel to its location.;;Скилл создает персональный рифт–разрыв в пространстве-времени, позволяющий мгновенно переместиться к его местоположению.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/rift_jump_to_hq;Rift Jump to HQ;;Рифт-прыжок к Штабу;;;;;;;
gui/menu/inventory/skill_description/rift_jump_to_hq;Mr. Riggs performs a rift jump to HQ.;;Мистер Ригз выполняет прыжок к Штабу.;;;;;;;
;;;;;;;;;;
gui/menu/inventory/skill_name/rift_jump_to_nearest_portal;Rift Jump to Nearest Portal;;Рифт-прыжок к ближайшему порталу;;;;;;;
gui/menu/inventory/skill_description/rift_jump_to_nearest_portal;Mr. Riggs performs a rift jump to a nearest portal.;;Мистер Ригз выполняет прыжок к ближайшему порталу.;;;;;;;
