;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/upgrade_name/scanner_equipment;Bioscanner Equipment;;Оборудование для биосканирования;;;;;生物扫描设备;;
gui/menu/inventory/upgrade_name/detector_equipment;Geoscanner Equipment;;Оборудование для геосканирования;;;;;地质扫描设备;;
;;;;;;;;;;
gui/menu/inventory/upgrade_description/scanner_equipment;This upgrade adds a hitpoint bonus to armor, a speed bonus and a Bioscanner Drone to Mr Riggs.;;Это улучшение дает броне бонус очков здоровья, ускорение и дрон для биосканирования мистеру Ригзу.;;;;;生物扫描机器人。里格斯先生的一系列被动升级。当它被插入里格斯先生的升级插槽时，可以提升各种属性。;;
gui/menu/inventory/upgrade_description/detector_equipment;This upgrade adds a hitpoint to forcefield, a speed bonus and a Geoscanner Drone to Mr Riggs.;;Это улучшение дает силовому полю бонус очков здоровья, ускорение и дрон для геосканирования мистеру Ригзу.;;;;;地质扫描机器人。里格斯先生的一系列被动升级。当它被插入里格斯先生的升级插槽时，可以提升各种属性。;;
;;;;;;;;;;
gui/menu/research/category_scanner_drones;Scanner Drones;;Сканирующие Дроны;;;;;扫描机器人;;
;;;;;;;;;;
gui/menu/research/name/category_scanner_drones_basic;Scanner Drones;;Сканирующие Дроны;;;;;扫描机器人;;
gui/menu/research/description/category_scanner_drones_basic;;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/scanner_equipment_standard;Bioscanner Equipment - Standard;;Оборудование для биосканирования - Стандартно;;;;;生物扫描设备 - 标准;;
gui/menu/research/name/scanner_equipment_advanced;Bioscanner Equipment - Advanced;;Оборудование для биосканирования - Улучшено;;;;;生物扫描设备 - 中级;;
gui/menu/research/name/scanner_equipment_superior;Bioscanner Equipment - Superior;;Оборудование для биосканирования - Превосходно;;;;;生物扫描设备 - 高级;;
gui/menu/research/name/scanner_equipment_extreme;Bioscanner Equipment - Extreme;;Оборудование для биосканирования - Экстремально;;;;;生物扫描设备 - 终极;;
;;;;;;;;;;
gui/menu/research/name/detector_equipment_standard;Geoscanner Equipment - Standard;;Оборудование для геосканирования - Стандартно;;;;;地质扫描设备 - 标准;;
gui/menu/research/name/detector_equipment_advanced;Geoscanner Equipment - Advanced;;Оборудование для геосканирования - Улучшено;;;;;地质扫描设备 - 中级;;
gui/menu/research/name/detector_equipment_superior;Geoscanner Equipment - Superior;;Оборудование для геосканирования - Превосходно;;;;;地质扫描设备 - 高级;;
gui/menu/research/name/detector_equipment_extreme;Geoscanner Equipment - Extreme;;Оборудование для геосканирования - Экстремально;;;;;地质扫描设备 - 终极;;
;;;;;;;;;;
gui/menu/research/description/scanner_equipment_standard;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;这些模组可以安装在机甲服的升级插槽里。它们包含的指令和程序可以影响机甲服的行为和能力。每一个模组都有自己独一无二的特性，可以相互替换使用。;;
gui/menu/research/description/scanner_equipment_advanced;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;这些模组可以安装在机甲服的升级插槽里。它们包含的指令和程序可以影响机甲服的行为和能力。每一个模组都有自己独一无二的特性，可以相互替换使用。;;
gui/menu/research/description/scanner_equipment_superior;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;这些模组可以安装在机甲服的升级插槽里。它们包含的指令和程序可以影响机甲服的行为和能力。每一个模组都有自己独一无二的特性，可以相互替换使用。;;
gui/menu/research/description/scanner_equipment_extreme;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;这些模组可以安装在机甲服的升级插槽里。它们包含的指令和程序可以影响机甲服的行为和能力。每一个模组都有自己独一无二的特性，可以相互替换使用。;;
;;;;;;;;;;
gui/menu/research/description/detector_equipment_standard;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;这些模组可以安装在机甲服的升级插槽里。它们包含的指令和程序可以影响机甲服的行为和能力。每一个模组都有自己独一无二的特性，可以相互替换使用。;;
gui/menu/research/description/detector_equipment_advanced;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;这些模组可以安装在机甲服的升级插槽里。它们包含的指令和程序可以影响机甲服的行为和能力。每一个模组都有自己独一无二的特性，可以相互替换使用。;;
gui/menu/research/description/detector_equipment_superior;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;这些模组可以安装在机甲服的升级插槽里。它们包含的指令和程序可以影响机甲服的行为和能力。每一个模组都有自己独一无二的特性，可以相互替换使用。;;
