;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/sell_all_map_tool;Sell All Buildings Tool;;Инструмент продажи всех зданий;;;;;;;
gui/hud/building_description/sell_all_map_tool;This tool allows Mr. Riggs to enter building sell mode. While it's active, Mr. Riggs will apply the next available level of sells to all buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/sell_all_map_picker_tool;Building to Sell Picker Tool;;Инструмент выбора здания для продажи;;;;;;;
gui/hud/building_description/sell_all_map_picker_tool;This tool allows you to select building to sell.;;Этот инструмент позволяет выбрать здание для продажи.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/sell_all_map_seller_tool;Sell All Picked Buildings Tool;;Инструмент улучшения всех определенных зданий;;;;;;;
gui/hud/building_description/sell_all_map_seller_tool;This tool allows Mr. Riggs to enter building sell mode. While it's active, Mr. Riggs will apply the next available level of sells to all picked buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все определенные постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/sell_all_map_cat_picker_tool;Building Category to Sell Picker Tool;;Инструмент выбора категории зданий для продажи;;;;;;;
gui/hud/building_description/sell_all_map_cat_picker_tool;This tool allows you to select building category to sell.;;Этот инструмент позволяет выбрать категорию зданий для продажи.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/sell_all_map_cat_seller_tool;Sell All Buildings of Category Tool;;Инструмент улучшения всех зданий по категории;;;;;;;
gui/hud/building_description/sell_all_map_cat_seller_tool;This tool allows Mr. Riggs to enter building sell mode. While it's active, Mr. Riggs will apply the next available level of sells to all buildings of the category over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки категории на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/sell_all_map/building_not_selected;The building for sell is not selected. Use the Building to Sell Picker Tool.;;Здание для продажи не выбрано. Используйте инструмент выбора здания для продажи.;;;;;;;
gui/hud/sell_all_map/building_category_not_selected;The building category for sell is not selected. Use the Building Category to Sell Picker Tool.;;Категория зданий для продажи не выбрано. Используйте инструмент выбора категории зданий для продажи.;;;;;;;
;;;;;;;;;;
gui/hud/sell_all_map/building_group;Buildings Group;;Группа зданий;;;;;;;
gui/hud/sell_all_map/building_group_place_ruins;Place Ruins. Buildings Group;;Оставить руины. Группа зданий;;;;;;;
gui/hud/sell_all_map/building_group_place_connectors;Place Energy Connectors. Buildings Group;;Оставить Энергосоединители. Группа зданий;;;;;;;
;;;;;;;;;;
gui/hud/sell_all_map/last_building;Select Previous;;Выбрать предыдущее;;;;;;;
;;;;;;;;;;
gui/hud/sell_all_map/current_building;Current;;Текущее;;;;;;;
;;;;;;;;;;
gui/hud/sell_all_map/place_ruins;Place Ruins;;Оставить руины;;;;;;;
gui/hud/sell_all_map/place_connectors;Place Energy Connectors;;Оставить Энергосоединители;;;;;;;
