;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/sell_by_type_picker_tool;Building to Sell Picker Tool;;Инструмент выбора здания на продажу;;;;;建筑出售选择工具;;
gui/hud/building_description/sell_by_type_picker_tool;This tool allows you to select building to sell.;;Этот инструмент позволяет выбрать здание на продажу.;;;;;这个工具用来选择需要售卖的建筑.;;
;;;;;;;;;;
gui/hud/building_name/sell_by_type_seller_tool;Sell Buildings Tool;;Инструмент продажи зданий;;;;;建筑出售工具-同种;;
gui/hud/building_description/sell_by_type_seller_tool;This tool allows you to sell certain buildings.;;Этот инструмент позволяет продавать определенные здания.;;;;;这个工具用来出售选定的建筑及其升级.;;
;;;;;;;;;;
gui/hud/building_name/sell_by_type_seller_group_tool;Sell Buildings Group Tool;;Инструмент продажи зданий по группе;;;;;建筑出售工具-同组;;
gui/hud/building_description/sell_by_type_seller_group_tool;This tool allows you to sell certain buildings group.;;Этот инструмент позволяет продавать определенную группу зданий.;;;;;这个工具用来出售选定的建筑及其升级和变种分类.;;
;;;;;;;;;;
gui/hud/sell_by_type/building_not_selected;The building for sale is not selected. Use the Building to Sell Picker Tool.;;Здание на продажу не выбрано. Используйте инструмент выбора здания.;;;;;;;
