;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
gui/hud/building_name/spawn_resource_deposits_carbonium;Spawn Carbonium Deposit Tool;;Инструмент создания источника карбониума;;;;;;;
gui/hud/building_description/spawn_resource_deposits_carbonium;This tool allows you to spawn Carbonium Deposit.;;Этот инструмент позволяет создать источник карбониума.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawn_resource_deposits_steel;Spawn Ironium Deposit Tool;;Инструмент создания источника карбониума;;;;;;;
gui/hud/building_description/spawn_resource_deposits_steel;This tool allows you to spawn Ironium Deposit.;;Этот инструмент позволяет создать источник карбониума.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawn_resource_deposits_cobalt;Spawn Cobalt Deposit Tool;;Инструмент создания источника кобальта;;;;;;;
gui/hud/building_description/spawn_resource_deposits_cobalt;This tool allows you to spawn Cobalt Deposit.;;Этот инструмент позволяет создать источник кобальта.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawn_resource_deposits_palladium;Spawn Palladium Deposit Tool;;Инструмент создания источника палладия;;;;;;;
gui/hud/building_description/spawn_resource_deposits_palladium;This tool allows you to spawn Palladium Deposit.;;Этот инструмент позволяет создать источник палладия.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawn_resource_deposits_titanium;Spawn Titanium Deposit Tool;;Инструмент создания источника титана;;;;;;;
gui/hud/building_description/spawn_resource_deposits_titanium;This tool allows you to spawn Titanium Deposit.;;Этот инструмент позволяет создать источник титана.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawn_resource_deposits_uranium_ore;Spawn Uranium Deposit using Crude Uranium Tool;;Инструмент создания источника урана используя сырой уран;;;;;;;
gui/hud/building_description/spawn_resource_deposits_uranium_ore;This tool allows you to spawn Crude Uranium Deposit using Crude Uranium.;;Этот инструмент позволяет создать источник сырого урана используя сырой уран.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/spawn_resource_deposits_uranium;Spawn Uranium Deposit using Uranium Tool;;Инструмент создания источника урана используя уран;;;;;;;
gui/hud/building_description/spawn_resource_deposits_uranium;This tool allows you to spawn Uranium Deposit using Crude Uranium..;;Этот инструмент позволяет создать источник сырого урана используя уран.;;;;;;;
;;;;;;;;;;
