;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/turn_by_type_picker_tool;Building to Power Switch Picker Tool;;Инструмент выбора здания для переключения питания;;;;;;;
gui/hud/building_description/turn_by_type_picker_tool;This tool allows you to select building to switch on or off.;;Этот инструмент позволяет выбрать здание для переключения питания.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_type_on_tool;Power On Buildings Tool;;Включение питания определенных зданий;;;;;;;
gui/hud/building_description/turn_by_type_on_tool;This tool allows you to switch on single or multiple certain buildings. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет включать одну или несколько определенных зданий одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_type_off_tool;Power Off Buildings Tool;;Отключение питания определенных зданий;;;;;;;
gui/hud/building_description/turn_by_type_off_tool;This tool allows you to switch off single or multiple certain buildings. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет отключать одну или несколько определенных зданий одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_type_on_group_tool;Power On Buildings Group Tool;;Включение питания определенной группы зданий;;;;;;;
gui/hud/building_description/turn_by_type_on_group_tool;This tool allows you to switch on single or multiple certain buildings group. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет включать одну или несколько определенных зданий из группы одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_type_off_group_tool;Power Off Buildings Group Tool;;Отключение питания определенной группы зданий;;;;;;;
gui/hud/building_description/turn_by_type_off_group_tool;This tool allows you to switch off single or multiple certain buildings group. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет отключать одну или несколько определенных зданий из группы одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/turn_by_type_tools/building_not_selected;The building for switching power is not selected. Use the Building to Power Switch Picker Tool.;;Здание для переключения питания не выбрано. Используйте инструмент выбора здания для переключения питания.;;;;;;;
;;;;;;;;;;
gui/hud/turn_by_type_tools/last_building;Select Previous;;Выбрать предыдущее;;;;;;;
;;;;;;;;;;
gui/hud/turn_by_type_tools/current_building;Current:;;Текущее:;;;;;;;
