;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/turn_on_tool;Power On;;Включение питания;;;;;连接电源;;
gui/hud/building_description/turn_on_tool;This tool allows you to switch single or multiple buildings on. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет включать одну или несколько построек одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;这个工具允许玩家一次性开启单个或者多个建筑物的电源,它可以帮助玩家快速对电网进行管理.;;
;;;;;;;;;;
gui/hud/building_name/turn_off_tool;Power Off;;Отключение питания;;;;;断开电源;;
gui/hud/building_description/turn_off_tool;This tool allows you to switch single or multiple buildings off. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет отключать одну или несколько построек одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;这个工具允许玩家一次性关闭单个或者多个建筑物的电源,它可以帮助玩家快速对电网进行管理.;;
;;;;;;;;;;
gui/hud/building_name/turn_by_type_picker_tool;Building to Power Switch Picker Tool;;Инструмент выбора здания для переключения питания;;;;;;;
gui/hud/building_description/turn_by_type_picker_tool;This tool allows you to select building to switch on or off.;;Этот инструмент позволяет выбрать здание для переключения питания.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_type_on_tool;Power On Buildings Tool;;Включение питания определенных зданий;;;;;;;
gui/hud/building_description/turn_by_type_on_tool;This tool allows you to switch on single or multiple certain buildings. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет включать одну или несколько определенных зданий одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_type_off_tool;Power Off Buildings Tool;;Отключение питания определенных зданий;;;;;;;
gui/hud/building_description/turn_by_type_off_tool;This tool allows you to switch off single or multiple certain buildings. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет отключать одну или несколько определенных зданий одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_group_on_tool;Power On Buildings Group Tool;;Включение питания определенной группы зданий;;;;;;;
gui/hud/building_description/turn_by_group_on_tool;This tool allows you to switch on single or multiple certain buildings group. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет включать одну или несколько определенных зданий из группы одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/turn_by_group_off_tool;Power Off Buildings Group Tool;;Отключение питания определенной группы зданий;;;;;;;
gui/hud/building_description/turn_by_group_off_tool;This tool allows you to switch off single or multiple certain buildings group. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет отключать одну или несколько определенных зданий из группы одновременно. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/switch_all_by_type;Power Switch All Buildings Tool;;Переключатель питания всех определенных зданий;;;;;;;
gui/hud/building_description/switch_all_by_type;This tool allows you to switch on or off all certain buildings over the map. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет включать или отключать все определенные здания на всей карте. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/switch_all_by_group;Power Switch All Buildings Group Tool;;Переключатель питания определенной группы зданий;;;;;;;
gui/hud/building_description/switch_all_by_group;This tool allows you to switch on or off all certain buildings over the map. It can help with power management in situations when your power grid is under heavy load.;;Этот инструмент позволяет включать или отключать все определенные здания из группы на всей карте. Он может помочь с распределением энергии, когда энергосеть находится под большой нагрузкой.;;;;;;;
;;;;;;;;;;
gui/hud/turn_on_off_tools/building_not_selected;The building for switching power is not selected. Use the Building to Power Switch Picker Tool.;;Здание для переключения питания не выбрано. Используйте инструмент выбора здания для переключения питания.;;;;;;;
;;;;;;;;;;
gui/hud/turn_on_off_tools/last_building;Select Previous;;Выбрать предыдущее;;;;;;;
;;;;;;;;;;
gui/hud/turn_on_off_tools/current_building;Current:;;Текущее:;;;;;;;
