;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/planetary_scanner/base_info_buildings_defense_modd;Tower Arsenal Defense Buildings:;;;;;;;;;
biomes/ArcticIslands/ArcticIslands.biome;Arctic lands;
campaigns/survival/ArcticIslands.campaign;Survival - Arctic lands;
gui/menu/research/name/resource_handling_plasmanite;Plasmanite Handling;
gui/menu/planetary_scanner/mission_ArcticIslands_find_rare_resource;ArcticIslands find rare resource;
gui/menu/planetary_scanner/mission_ArcticIslands_scout;Arctic Lands Reconnaissance;
gui/menu/planetary_scanner/mission_ArcticIslands_scout_description;Cosmonite has been detected in a strange arctic biome that is covered by dense cosmic clouds and an extremely cold atmosphere. Search the area for new resources and gather data on the source of the cosmic emissions.;
gui/menu/planetary_scanner/mission_ArcticIslands_find_rare_resource;Plasmanite Concentration;
gui/menu/planetary_scanner/mission_ArcticIslands_find_rare_resource_description;A high concentration of purple crystals containing plasmanite has been detected in this area. Rift jump to this location to acquire large quantities of this resource and to gather samples of the plasmanite rich crystals. ;
gui/hud/objective_name/story/ArcticIslands_scout/cosmic_crystal_creeper.gather_samples;Gather Cosmic Yeast Samples.;
gui/hud/objective_name/story/ArcticIslands_scout/cosmic_crystal_creeper_root;Harvest the central root of the cosmic yeast colony for further analysis.;
gui/hud/objective_name/story/ArcticIslands_scout/scout;Search the area for the source of the cosmic yeast contamination.;
gui/hud/objective_name/story/ArcticIslands_scout/scout.anomaly;Cosmic fume emissions detected. Investigate the area.;
gui/menu/planetary_scanner/mission_ArcticIslands_new_resource;Cosmonite Mining Outpost.;
gui/menu/planetary_scanner/mission_ArcticIslands_new_resource_description;Orbital Scanning detected a Cosmonite rich location within the arctic plains. Go there to gather more information about the abundance of cosmonite ore, to learn if there is enough of it to establish a permanent mining outpost.;
gui/hud/objective_name/story/ArcticIslands_find_new_resource/main_1;Search for Cosmonite ore deposits using the Geoscanner.;
gui/hud/objective_name/story/ArcticIslands_find_new_resource/main.find_deposit_1;Locate the large Cosmonite ore deposit in the marked area.;
gui/hud/objective_name/story/ArcticIslands_find_new_resource/main.gather_Cosmonite;Gather Cosmonite:;
gui/menu/planetary_scanner/mission_ArcticIslands_find_new_resource;Gather Cosmonite ore samples.;
gui/menu/planetary_scanner/mission_ArcticIslands_find_new_resource_description;Orbital Scanning detected a Cosmonite rich location within the Arctic Plains. Go there to gather more information about the abundance of Cosmonite ore, to learn if there is enough of it to establish a permanent mining outpost.;
gui/hud/objective_name/story/ArcticIslands_outpost/build.outpost;Build an Outpost near a cosmonite deposit.;
gui/hud/objective_name/story/ArcticIslands_outpost/build.rare_element_mine;Build a Rare Element Mine on a Cosmonite deposit.;
gui/hud/objective_name/story/ArcticIslands_find_new_resource/main;Search for plasmanite deposits using the Geoscanner.;
gui/hud/objective_name/story/ArcticIslands_find_new_resource/main.find_deposit;Locate the large plasmanite deposit in the marked area.;
gui/hud/objective_name/story/ArcticIslands_find_new_resource/main.gather_plasmanite;Gather Plasmanite:;
gui/menu/planetary_scanner/mission_ArcticIslands_alien_base;Cosmic-X Stronghold;
gui/menu/planetary_scanner/mission_ArcticIslands_alien_base_description;Thorough study of dark energy wave emissions from X-Morph pylons suggests that this location houses some kind of central communications hub. Long-range scans indicate that there is a single narrow path leading to the main location.;
gui/hud/objective_name/story/ArcticIslands_base/reach_core;Reach the X-Morph base.;
gui/hud/objective_name/story/ArcticIslands_base/communicate;Communicate with the X-Morph.;
gui/hud/objective_name/story/ArcticIslands_base/decide;Decide the X-Morph's fate.;
gui/menu/planetary_scanner/mission_ArcticIslands_nest;Cosmic Anoryx Cavern;
gui/menu/planetary_scanner/mission_ArcticIslands_nest_description;A deep underground cave entirely surrounded by Anoryx crystals. Our sensors can not establish any readings from this area.;
gui/menu/planetary_scanner/mission_ArcticIslands_find_samples;Cosmic Yeast Colony Research;
