;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;
resource_name/ammo_tower_plasmoid_cells;Plasmoid Cell <img="gui/hud/building_info_tower">;
resource_name/ammo_manufacturing_plasmoid_cells;Plasmoid Cells Production;
;;
resource_name/ammo_tower_flame_cells;flame Cell <img="gui/hud/building_info_tower">;
resource_name/ammo_manufacturing_flame_cells;Flame Cells Production;
;;
resource_name/ammo_tower_cryogenic_cells;Cryogenic Cell <img="gui/hud/building_info_tower">;
resource_name/ammo_manufacturing_cryogenic_cells;Cryogenic Cells Production;
;;
resource_name/ammo_tower_acidic_cells;acidic Cell <img="gui/hud/building_info_tower">;
resource_name/ammo_manufacturing_acidic_cells;Acidic Cells Production;
;;
resource_name/ammo_tower_cosmic_cells;Cosmic Cell <img="gui/hud/building_info_tower">;
resource_name/ammo_manufacturing_cosmic_cells;Cosmic Cells Production;
;;
;;
resource_name/ammo_mech_cosmic_cells;Cosmic Cells <img="gui/hud/building_info_mech">;
resource_name/ammo_cosmic_cells;Cosmic Cells;
;;
resource_name/ammo_mech_cosmic_machinegun_cells;Mech_Cosmic Caliber <img="gui/hud/building_info_mech">;
resource_name/ammo_cosmic_machinegun_cells;Mech Cosmic Caliber;
;;
resource_name/ammo_mech_plasmoid_cells;Mech Plasmoid Caliber <img="gui/hud/building_info_mech">;
resource_name/ammo_plasmoid_cells;Mech Plasmoid Caliber;
;;
resource_name/ammo_cosmic_explosive;Cosmic Explosive <img="gui/hud/building_info_mech">;
resource_name/ammo_mech_cosmic_explosive;Cosmic Explosive;
;;
;;
gui/menu/research/name/towers_plasmoid_cells_lvl1;Plasmoid Cells;
gui/menu/research/description/towers_plasmoid_cells_lvl1;Development of plasmoid ammo cells.;
;;
gui/menu/research/name/towers_acidic_cells_lvl1;Acidic Cells ;
gui/menu/research/description/towers_acidic_cells_lvl1;Development of acidic ammo cells.;
;;
gui/menu/research/name/towers_cryogenic_cells_lvl1;Cryogenic Cells ;
gui/menu/research/description/towers_cryogenic_cells_lvl1;Development of cryogenic ammo cells.;
;;
gui/menu/research/name/towers_flame_cells_lvl1;flame Cells ;
gui/menu/research/description/towers_flame_cells_lvl1;Development of flame ammo cells.;
;;
gui/menu/research/name/towers_cosmic_cells_lvl1;Cosmic Cells ;
gui/menu/research/description/towers_cosmic_cells_lvl1;Development of cosmic ammo cells.;
;;
gui/menu/research/name/mech_cosmic_cells_lvl1;Cosmic Cells ;
gui/menu/research/description/mech_cosmic_cells_lvl1;Development of cosmic ammo cells.;
;;
gui/menu/research/name/mech_cosmic_machinegun_cells_lvl1;Cosmic Machinegun Cells ;
gui/menu/research/description/mech_cosmic_machinegun_cells_lvl1;Development of cosmic ammo cells.;
;;
gui/menu/research/name/ammo_cosmic_explosive_lvl1;Cosmic Explosive ;
gui/menu/research/description/ammo_cosmic_explosive_lvl1;Development of cosmic explosives.;
;;
