;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/graffiti_floor_black;Graffiti Floor Black;;;;;;;;;
gui/hud/building_description/graffiti_floor_black;Increases movement speed of the Mecha-suit.;;
;;;;;;;;;;
gui/hud/building_name/graffiti_floor_green;Graffiti Floor Green;;;;;;;;;
gui/hud/building_description/graffiti_floor_green;Increases movement speed of the Mecha-suit.;;
;;;;;;;;;;
gui/hud/building_name/graffiti_floor_purple;Graffiti Floor purple;;;;;;;;;
gui/hud/building_description/graffiti_floor_purple;Increases movement speed of the Mecha-suit.;;
;;;;;;;;;;
gui/hud/building_name/graffiti_floor_aqua;Graffiti Floor Aqua;;;;;;;;;
gui/hud/building_description/graffiti_floor_aqua;Increases movement speed of the Mecha-suit.;;
;;;;;;;;;;
gui/hud/building_name/graffiti_floor_blue;Graffiti Floor Blue;;;;;;;;;
gui/hud/building_description/graffiti_floor_blue;Increases movement speed of the Mecha-suit.;;
;;;;;;;;;;
gui/hud/building_name/graffiti_floor_red;Graffiti Floor Red;;;;;;;;;
gui/hud/building_description/graffiti_floor_red;Increases movement speed of the Mecha-suit.;;
;;;;;;;;;;
gui/hud/building_name/graffiti_floor_yellow;Graffiti Floor Yellow;;;;;;;;;
gui/hud/building_description/graffiti_floor_yellow;Increases movement speed of the Mecha-suit.;;
;;;;;;;;;;
gui/menu/research/name/graffiti_floor_black;Graffiti Floor Black;;;;;;;;;
gui/menu/research/name/graffiti_floor_green;Graffiti Floor Green;;;;;;;;;
gui/menu/research/name/graffiti_floor_purple;Graffiti Floor purple;;;;;;;;;
gui/menu/research/name/graffiti_floor_aqua;Graffiti Floor Aqua;;;;;;;;;
gui/menu/research/name/graffiti_floor_blue;Graffiti Floor Blue;;;;;;;;;
gui/menu/research/name/graffiti_floor_red;Graffiti Floor Red;;;;;;;;;
gui/menu/research/name/graffiti_floor_yellow;Graffiti Floor Yellow;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/graffiti_floor;Graffiti Floor;;;;;;;;;
gui/menu/research/description/graffiti_floor;Graffiti Floor;;;;;;;;;;
;;;;;;;;;;
gui/hud/objective_name/story/graffiti_floor_research;Graffiti Floor;;;;;;;;;;
