;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
monster_name/random_bosses;Arctic Random Boss;
monster_name/cosmic_yeast;cosmic yeast (Cosmic Yeast infestastion);
monster_description/cosmic_yeast;be aware soon as this starts to grow it can be just as bad as the yeast ;;;;;;;;;
resource_name/specimen_cosmic_yeast;Cosmic Crystalization;;;;;;;;;
prop_name/cosmic_crystals;cosmic crystals;
prop_description/cosmic_crystal;;;;;;;;;;
resource_name/specimen_cosmic_crystals;Cosmic Crystals;;;;;;;;;
monster_name/cosmic_crystal;Cosmic Crystals Entwined;
resource_name/specimen_cosmic_crystal;Cosmic Crystals Entwined;;;;;;;;;
monster_name/cosmic_crystal_creeper;cosmic creeper (Cosmic Crystalization);
monster_description/cosmic_crystal_creeper;be aware soon as this starts to grow it can be just as bad as the yeast ;;;;;;;;;
resource_name/specimen_cosmic_crystal_creeper;Cosmic Crystalization;;;;;;;;;
monster_name/alien_tower_artillery_cosmo;Cosmic Artillery;;;;;;;;;
monster_description/alien_tower_artillery_cosmo;the long rang artillery fromm the depths of the metalic valley they manged to burrow there way to new areas ;;;;;;;;;
resource_name/specimen_alien_tower_artillery_cosmo;Cosmic Artillery;;;;;;;;;
monster_name/alien_tower_artillery_cosmo_mkII;MkII Plasma;;;;;;;;;
monster_description/alien_tower_artillery_cosmo_mkII;the brother to the alien artillery comes the mkII comes from below to take us out for invading galatea 37;;;;;;;;
resource_name/specimen_alien_tower_artillery_cosmo_mkII;Cosmic Plasma MkII;;;;;;;;;
monster_name/cosmic_canceroth_boss;Cosmic Canceroth Boss;;;;;;;;;
monster_description/cosmic_canceroth_boss;The Canceroth, an enigmatic and formidable entity endemic to the Swamp biome, presents a multifaceted challenge to explorers. It features a central node surrounded by smaller cells, collectively wreaking havoc as they traverse the terrain without heed for obstacles. While targeting smaller cells can temporarily diminish their threat, the central node must ultimately be destroyed, a task complicated by the surrounding cells' protective function.;
resource_name/specimen_cosmic_canceroth_boss;Cosmic Canceroth Boss;;;;;;;;;
monster_name/cosmic_bradron_boss;Cosmic Bradron Boss;;;;;;;;;
monster_description/cosmic_bradron_boss;;;;;;;;;;
resource_name/specimen_cosmic_bradron_boss;Cosmic Bradron Boss;;;;;;;;;
monster_name/cosmic_stregaros_boss;Cosmic Stregaros Boss;;;;;;;;;
monster_description/cosmic_stregaros_boss;Crystaros is an impressive creature, adorned with an array of sharp, shimmering crystals protruding from its body. Its most noticeable feature is the two giant arms with towering, shield-like growth made of crystals on them. This species also feeds on crystals, and its diet seems to have influenced the structure of its body. ;
resource_name/specimen_cosmic_stregaros_boss;Cosmic Stregaros Boss;;;;;;;;;
monster_name/cosmic_mushbit;Cosmic Mushbit;;;;;;;;;
monster_description/cosmic_mushbit;;;;;;;;;;
resource_name/specimen_cosmic_mushbit;Cosmic Mushbit;;;;;;;;;
monster_name/cosmic_drexolian_boss;Cosmic cosmic Drexolian Boss;;;;;;;;;
