;ENGLISH;
gui/hud/enemy_skill_name/cosmic_meteor_shower;Cosmic Meteor Shower
gui/hud/enemy_skill_description/cosmic_meteor_shower;
gui/menu/inventory/stat_icons/cosmic_meteor_shower_aura_icon;
;;;;;;;;;
gui/hud/enemy_skill_name/cosmic_lightning_shower;Cosmic Lightning Shower
gui/hud/enemy_skill_description/cosmic_lightning_shower;
gui/menu/inventory/stat_icons/cosmic_lightning_shower_icon;
;;;;;;;;;
gui/hud/enemy_skill_name/cosmic_swarm;Cosmic Swarm
gui/hud/enemy_skill_description/cosmic_swarm;
gui/menu/inventory/stat_icons/cosmic_swarm_icon;
;;;;;;;;;
gui/hud/enemy_skill_name/cosmic_drones;Cosmic Drones
gui/hud/enemy_skill_description/cosmic_drones;
gui/menu/inventory/stat_icons/cosmic_drones_icon;
;;;;;;;;;
gui/hud/enemy_skill_name/cosmic_eggs;Cosmic Egg Spawner;
gui/hud/enemy_skill_description/cosmic_eggs;
gui/menu/inventory/stat_icons/cosmic_eggs_aura_icon;
;;;;;;;;;
gui/hud/enemy_skill_name/aura_damage_cosmic;aura_damage_cosmic
gui/hud/enemy_skill_description/aura_damage_cosmic;
gui/menu/inventory/stat_icons/aura_damage_cosmic_icon;
;;;;;;;;;
gui/hud/enemy_skill_name/cosmic_waller;Cosmic Waller;
gui/hud/enemy_skill_description/cosmic_waller;
gui/menu/inventory/stat_icons/cosmic_waller_aura_icon;
;;;;;;;;;
