;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN;
resource_name/abyssium;Abyssium;
resource_name/abyssium_compressed;Comp. Abyssium;
resource_name/abyssium_vein;Abyssium Vein;
resource_name/abyssium_pool;Abyssium Pool;
resource_name/cosmonite_ore;cosmonite;;;;;;;;;
resource_name/cosmonite_ore_vein;cosmonite Ore;;;;;;;;;
resource_name/cosmonite_vein;Cosmonite Ore;;;;;;;;;
resource_name/cosmonite;Cosmonite;;;;;;;;;
resource_name/cosmic_biomas_plant;Cosmic Biomass Plant;
resource_name/biomas_sapling_test;Blue Grass;
resource_name/plasmatic;Plasmatic;
resource_name/plasmatic_compressed;Comp. Plasmatic;
resource_name/plasmatic_vein;Plasmatic Vein;
resource_name/plasmatic_pool;Plasmatic Pool;
resource_name/plasmanite;Plasmanite;
resource_name/plasmoid;Plasmoid;
resource_name/plasmoid_compressed;Comp. Plasmoid;
resource_name/cosmoganic;Cosmoganic;
resource_name/cosmoganic_compressed;Comp. Cosmoganic;
resource_name/cosmoganic_gas;Cosmoganic Gas;
resource_name/cosmoganic_gas_compressed;Comp. Cosmoganic Gas;
resource_name/bio_plasma_charged;Bio Plasma Charged;
resource_name/bio_plasma_charged_compressed;Comp. Bio Plasma Charged;
resource_name/cosmoganic_gas_vent;Cosmoganic Gas Vent;;;;;;;;;
resource_name/cosmic_vent;Cosmoganic Gas Vent;
resource_name/bio_tech;Bio Tech;
campaigns/survival/the_abys.campaign;The Abyss;
campaigns/survival/the_abys_lakes.campaign;The Abyss Lakes;
biomes/the_abys/the_abys.biome;The Abyss;
gui/menu/biome_name/the_abys;The - Abyss;
gui/menu/planetary_scanner/mission_the_abys_outpost;The Abyss Outpost
gui/menu/planetary_scanner/mission_the_abys_outpost_description;
gui/menu/planetary_scanner/mission_the_abys_crash_site;The Abyss Crash Site
gui/menu/planetary_scanner/mission_the_abys_crash_site_description;
gui/menu/planetary_scanner/mission_the_abys_outpost;The Abyss Outpost
gui/menu/planetary_scanner/mission_the_abys_outpost_description;
gui/menu/planetary_scanner/mission_the_abys_factory;The Abyss Factory
gui/menu/planetary_scanner/mission_the_abys_factory_description;
gui/menu/planetary_scanner/mission_the_abys_lakes;The Abyss Lakes
gui/menu/planetary_scanner/mission_the_abys_lakes_description;
gui/menu/planetary_scanner/mission_the_abys_alien_base;The Abyss Stronghold
gui/menu/planetary_scanner/mission_the_abys_alien_base_description;
gui/menu/planetary_scanner/mission_the_abys_boss_arena_01;The-Abyss Arena-1;
gui/menu/planetary_scanner/mission_the_abys_boss_arena_01_description;kill the massive creature.;
gui/menu/planetary_scanner/mission_the_abys_boss_arena_02;The-Abyss Arena-2;
gui/menu/planetary_scanner/mission_the_abys_boss_arena_02_description;kill the massive creature.;
gui/menu/planetary_scanner/mission_the_abys_exploration_description;Explore this area to find unique treasures and learn more about Galatea 37.;
gui/menu/planetary_scanner/mission_the_abys_resource_description;Explore this area to find unique treasures and learn more about Galatea 37.;
gui/hud/objective_name/abyss/campaign/global.the_abys_main;Abyss Investigation;
gui/hud/objective_name/abyss/campaign/global.the_abys_outpost;Travel To The Abyss;
gui/hud/objective_name/abyss/campaign/global.return_to_outpost;Return To The Abyss Outpost
gui/hud/objective_name/abyss/campaign/global.travel_to_arena_1;Travel To The.-BOSS ARENA-1
gui/hud/objective_name/abyss/campaign/global.travel_to_arena_2;Travel To The.-BOSS ARENA-2
gui/hud/objective_name/abyss/factory/gather_specimen;Gather specimen samples using the Bio-scanner;
gui/hud/objective_name/the_abys/headquarters/the_abys.sample_deliver;Deliver a large strange corrupted spore sample to the bio-lab for analyzing,;
gui/hud/objective_name/the_abys/the_abys_boss_arena/exit;Enter the passage to the next boss arena;
gui/hud/objective_name/the_abys/headquarters/the_abys.sample;Extrack a sample from the Corrupted Spore;
gui/hud/objective_name/the_abys/headquarters/the_abys;Investigate the strange corrupted area;
gui/hud/objective_name/the_abys/headquarters/the_abys.start;Go to the corrupt landing location ;
gui/hud/objective_name/the_abys/encounter/destroy.anomaly;Destroy the corrupt anomaly;
gui/hud/objective_name/the_abys/outpost_1/alien_tower.morphium;Connect Abyssium to the alien structure.;

