;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/category_tower_arsenal;Tower Arsenal;
gui/menu/research/description/cosmonite_handling;found in the coldest off placeses
gui/menu/research/name/cosmonite_handling;Cosmonite Handling;
gui/hud/objective_name/story/download_tech_cosmonite_handling;Download the "Cosmonite Handling" technology
gui/menu/research/description/resource_handling_plasmanite;The properties of plasmanite suggest that it could be used to improve some of the Riftbreaker equipment and technologies. This research will develop plasmanite handling methods and discover potential uses for it.;
gui/menu/research/name/resource_handling_plasmanite;Plasmanite Handling;
gui/hud/objective_name/story/download_tech_plasmanite_handling;Research Plasmanite Handling
gui/menu/research/name/rare_element_mining_lvl4;Rare Element Mining – Level 4;
gui/menu/research/description/rare_element_mining_lvl4;Upgrade blueprints for Rare Element Mines. Improved drilling mechanism and refined screening algorithm give a better yield for the End-Game production.;
gui/menu/research/name/carbonium_factory_lvl4;Carbonium Factory – Level 4;
gui/menu/research/description/carbonium_factory_lvl4;Upgrade blueprints for Carbonium Factory Mines. Improved drilling mechanism and refined screening algorithm give a better yield for the End-Game production.;
gui/menu/research/name/steel_factory_lvl4;Steel Factory – Level 4;
gui/menu/research/description/steel_factory_lvl4;Upgrade blueprints for Steel Factory Mines. Improved drilling mechanism and refined screening algorithm give a better yield for the End-Game production.;
gui/hud/building_name/mining;Mining;
gui/menu/inventory/stat_name/damage_type_cosmic;Cosmic damage;
gui/menu/inventory/stat_name/damage_type_plasmoid;Plasmoid damage;
gui/menu/inventory/stat_name/damage_type_cosmic_energy;Cosmic Energy damage;
gui/menu/inventory/stat_name/damage_over_time_cosmic;Cosmic damage over time;
gui/menu/inventory/stat_name/damage_over_time_plasmoid;Plasmoid damage over time;
gui/menu/inventory/stat_name/damage_over_time_cosmic_energy;Cosmic Energy damage over time;
gui/menu/planetary_scanner/base_info_buildings_defense_modd;Tower Arsenal Defense buildings:;
gui/menu/planetary_scanner/base_info_buildings_building_modd;Tower Arsenal Resource buildings:;
gui/menu/planetary_scanner/base_info_buildings_tools;Buildings Tools:
gui/menu/planetary_scanner/base_info_consumables;Tower Arsenal Consumables:
gui/menu/planetary_scanner/base_info_buildings_tools;Buildings Tools:
gui/loading/tooltip_29;Tower Arsenal,.Make sure to have the BIO-LAB built to research anything above lvl 2 n above, Most turrets are useful for somthing but you need to research it and also have ammo storage for your ammo aswell as a factory to make the ammo.;
gui/menu/research/name/towers_tower_arsenal_lvl1;Tower Arsenal - Level 1;
gui/menu/research/name/towers_tower_arsenal_lvl2;Tower Arsenal - Level 2;
gui/menu/research/name/towers_tower_arsenal_lvl3;Tower Arsenal - Level 3;
gui/menu/research/name/towers_tower_arsenal_lvl4;Tower Arsenal - Level 4;
gui/menu/research/name/towers_tower_arsenal_lvl5;Tower Arsenal - Level 5;
gui/menu/research/description/towers_tower_arsenal_lvl1;Development of new tech.;;;;;;;
gui/menu/research/description/towers_tower_arsenal_lvl2;Development of new towers.;;;;;;;
gui/menu/research/description/towers_tower_arsenal_lvl3;Development of new towers.;;;;;;;
gui/menu/research/description/towers_tower_arsenal_lvl4;Development of new towers.;;;;;;;
gui/menu/research/description/towers_tower_arsenal_lvl5;Development of new towers.;;;;;;;
gui/menu/research/name/bio_research;Bio research;
gui/menu/research/name/bio_tech_lvl1;Bio Research – Level 1;
gui/menu/research/name/bio_tech_lvl2;Bio Research – Level 2;
gui/menu/research/name/bio_tech_lvl3;Bio Research – Level 3;
gui/menu/research/name/bio_tech_lvl4;Bio Research – Level 4;
gui/menu/research/name/bio_tech_lvl5;Bio Research – Level 5;
gui/menu/research/description/bio_research;Unlocks the Bio research tree 
gui/menu/research/building_limit_cap_increase_bio_research_lab;Building Limit Cap Increase – Bio Research Lab;
gui/menu/research/description/bio_tech_lvl1;allows the use off bio tech equipment
gui/menu/research/description/bio_tech_lvl2;A set of upgrades increasing the efficiency of the Bio lab Research. It also increases the Bio lab building limit to 2.;
gui/menu/research/description/bio_tech_lvl3;A set of upgrades increasing the efficiency of the Bio lab Research. It also increases the Bio lab building limit to 3.;
gui/menu/research/description/bio_tech_lvl4;A set of upgrades increasing the efficiency of the Bio lab Research. It also increases the Bio lab building limit to 4.;
