;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/category_weapons_n_equipment;Weapons - Equipment;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/ta_weapons_n_equipment_lvl1;Weapons - Equipment - Level 1;;;;;;;;;
gui/menu/research/name/ta_weapons_n_equipment_lvl2;Weapons - Equipment - Level 2;;;;;;;;;
gui/menu/research/name/ta_weapons_n_equipment_lvl3;Weapons - Equipment - Level 3;;;;;;;;;
gui/menu/research/name/ta_weapons_n_equipment_lvl4;Weapons - Equipment - Level 4;;;;;;;;;
gui/menu/research/name/ta_weapons_n_equipment_lvl5;Weapons - Equipment - Level 5;;;;;;;;;
gui/menu/research/description/ta_weapons_n_equipment_lvl1;Development of new weapons.;;;;;;;
gui/menu/research/description/ta_weapons_n_equipment_lvl2;Development of new weapons.;;;;;;;
gui/menu/research/description/ta_weapons_n_equipment_lvl3;Development of new weapons.;;;;;;;
gui/menu/research/description/ta_weapons_n_equipment_lvl4;Development of new weapons.;;;;;;;
gui/menu/research/description/ta_weapons_n_equipment_lvl5;Development of new weapons.;;;;;;;
;;;;;;;;;;
gui/menu/research/name/offensive_equipment_ta;Cosmic Offensive Gear;
gui/menu/research/description/offensive_equipment_ta;This upgrade module is a modified offensive drone module designed to dish out damage to help aid Mr. Riggs.;
;;;;;;;;;;
gui/menu/research/name/offensive_equipment_ta_Standard;Cosmic Offensive Gear - Standard;;;;;;;;;
gui/menu/research/name/offensive_equipment_ta_advanced;Cosmic Offensive Gear - Advanced;;;;;;;;;
gui/menu/research/name/offensive_equipment_ta_superior;Cosmic Offensive Gear - Superior;;;;;;;;;
gui/menu/research/name/offensive_equipment_ta_extreme;Cosmic Offensive Gear - Extreme;;;;;;;;;
gui/menu/research/description/offensive_equipment_ta_Standard;
gui/menu/research/description/offensive_equipment_ta_advanced;;;;;;;;;;
gui/menu/research/description/offensive_equipment_ta_superior;;;;;;;;;;
gui/menu/research/description/offensive_equipment_ta_extreme;;;;;;;;;;
;;;;;;;;;;
gui/menu/inventory/upgrade_name/cosmic_offensive_equipment;Cosmic Assault Gear;;;;;;;;;
gui/menu/inventory/upgrade_name/cosmic_offensive_equipment_advanced;Cosmic Assault Gear;;;;;;;;;
