;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/replace_trap_all_picker_tool;Trap Type Picker Tool;;Инструмент выбора типа ловушек;;;;;类型选择工具-陷阱类型;;
gui/hud/building_description/replace_trap_all_picker_tool;This tool allows you to select Trap Type to replace all traps.;;Этот инструмент позволяет выбрать тип ловушек для замены всех башен.;;;;;这个工具允许玩家选择并替换指定的陷阱类型;;
;;;;;;;;;;
gui/hud/building_name/replace_trap_all_replacer_tool;Replace All Selected Traps with Picked Trap Type;;Заменить все выделенные ловушки на выбранный тип ловушки;;;;;使用指定的陷阱类型来替换另一种指定的陷阱类型.;;
gui/hud/building_description/replace_trap_all_replacer_tool;This tool allows you to replace all selected traps with Picked Trap Type.;;Этот инструмент позволяет заменить все выделенные ловушки на выбранный тип ловушки.;;;;;这个工具允许玩家使用指定的陷阱类型来替换另一种指定的陷阱类型.;;
;;;;;;;;;;
gui/hud/messages/replace_trap_tool/trap_not_selected;Use Trap Type Picker Tool.;;Используйте инструмент выбора типа ловушек.;;;;;未选择指定的陷阱类型.;;
;;;;;;;;;;
gui/hud/messages/replace_trap_tool/trap_1_not_selected;Use Trap Type 1\nPicker Tool.;;Используйте инструмент\nвыбора типа ловушек 1.;;;;;未选择指定的陷阱类型-类型1;;
gui/hud/messages/replace_trap_tool/trap_2_not_selected;Use Trap Type 2\nPicker Tool.;;Используйте инструмент\nвыбора типа ловушек 2.;;;;;未选择指定的陷阱类型-类型2;;
;;;;;;;;;;
gui/hud/building_name/replace_trap_picker_1_tool;Trap Type 1 Picker Tool;;Инструмент выбора типа ловушек 1;;;;;类型选择工具-陷阱类型1;;
gui/hud/building_description/replace_trap_picker_1_tool;This tool allows you to select Trap Type 1.;;Этот инструмент позволяет выбрать тип ловушек 1.;;;;;这个工具允许玩家选择一种陷阱类型为陷阱类型1.;;
;;;;;;;;;;
gui/hud/building_name/replace_trap_picker_2_tool;Trap Type 2 Picker Tool;;Инструмент выбора типа ловушек 2;;;;;类型选择工具-陷阱类型2;;
gui/hud/building_description/replace_trap_picker_2_tool;This tool allows you to select Trap Type 2.;;Этот инструмент позволяет выбрать тип ловушек 2.;;;;;这个工具允许玩家选择一种陷阱类型为陷阱类型1.;;
;;;;;;;;;;
gui/hud/building_name/replace_trap_replacer_from_1_to_2_tool;Replace Selected Traps Type 1 with Type 2;;Заменить все выделенные ловушки типа 1 на тип 2;;;;;使用陷阱类型2替换陷阱类型1;;
gui/hud/building_description/replace_trap_replacer_from_1_to_2_tool;This tool allows you to replace all selected Traps Type 1 with Type 2.;;Этот инструмент позволяет заменить все выделенные ловушки типа 1 на тип 2.;;;;;这个工具允许玩家使用陷阱类型2来替换选中的陷阱类型1陷阱.;;
;;;;;;;;;;
gui/hud/building_name/replace_trap_replacer_from_2_to_1_tool;Replace Selected Traps Type 2 with Type 1;;Заменить все выделенные ловушки типа 2 на тип 1;;;;;使用陷阱类型1替换陷阱类型2;;
gui/hud/building_description/replace_trap_replacer_from_2_to_1_tool;This tool allows you to replace all selected Traps Type 2 with Type 1.;;Этот инструмент позволяет заменить все выделенные ловушки типа 2 на тип 1.;;;;;这个工具允许玩家使用陷阱类型1来替换选中的陷阱类型2陷阱.;;
