;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/upgrade_all_map_tool;Upgrade All Buildings Tool;;Инструмент улучшения всех зданий;;;;;工具-一键升级所有建筑;;
gui/hud/building_description/upgrade_all_map_tool;This tool allows Mr. Riggs to enter building upgrade mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки на всей карте до следующего доступного уровня.;;;;;这个工具允许玩家一键升级全图所有可升级的建筑.;;
;;;;;;;;;;
gui/hud/building_name/upgrade_all_map_picker_tool;Building to Upgrade Picker Tool;;Инструмент выбора здания на улучшение;;;;;工具-选择建筑;;
gui/hud/building_description/upgrade_all_map_picker_tool;This tool allows you to select building to upgrade.;;Этот инструмент позволяет выбрать здание на улучшение.;;;;;这个工具允许玩家选择需要升级的建筑.;;
;;;;;;;;;;
gui/hud/building_name/upgrade_all_map_upgrader_tool;Upgrade All Picked Buildings Tool;;Инструмент улучшения всех определенных зданий;;;;;工具-一键升级被选择的建筑;;
gui/hud/building_description/upgrade_all_map_upgrader_tool;This tool allows Mr. Riggs to enter building upgrade mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all picked buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все определенные постройки на всей карте до следующего доступного уровня.;;;;;这个工具允许玩家一键升级全图所有被选择的可升级的建筑.;;
;;;;;;;;;;
gui/hud/building_name/upgrade_all_map_cat_picker_tool;Building Category to Upgrade Picker Tool;;Инструмент выбора категории зданий на улучшение;;;;;工具-选择建筑类别;;
gui/hud/building_description/upgrade_all_map_cat_picker_tool;This tool allows you to select building category to upgrade.;;Этот инструмент позволяет выбрать категорию зданий на улучшение.;;;;;这个工具允许玩家选择需要升级的建筑的类别.;;
;;;;;;;;;;
gui/hud/building_name/upgrade_all_map_cat_upgrader_tool;Upgrade All Buildings of Category Tool;;Инструмент улучшения всех зданий по категории;;;;;工具-一键升级被选择的类别的建筑;;
gui/hud/building_description/upgrade_all_map_cat_upgrader_tool;This tool allows Mr. Riggs to enter building upgrade mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all buildings of the category over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки категории на всей карте до следующего доступного уровня.;;;;;这个工具允许玩家一键升级全图所有被选择类别的可升级的建筑.;;
;;;;;;;;;;
gui/hud/upgrade_all_map/building_not_selected;The building for upgrade is not selected. Use the Building to Upgrade Picker Tool.;;Здание на улучшение не выбрано. Используйте инструмент выбора здания на улучшение.;;;;;未选择需要升级的建筑,请使用工具-选择建筑.;;
gui/hud/upgrade_all_map/building_category_not_selected;The building category for upgrade is not selected. Use the Building Category to Upgrade Picker Tool.;;Категория зданий на улучшение не выбрано. Используйте инструмент выбора категории зданий на улучшение.;;;;;未选择需要升级的建筑类别,请使用工具-选择建筑类别.;;
;;;;;;;;;;
gui/hud/upgrade_all_map/building_group;Buildings Group;;Группа зданий;;;;;已选建筑;;
;;;;;;;;;;
gui/hud/upgrade_all_map/last_building;Select Previous;;Выбрать предыдущее;;;;;选择前一个;;
;;;;;;;;;;
gui/hud/upgrade_all_map/current_building;Current;;Текущее;;;;;当前选择;;
