;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/upgrade_full_map_tool;Upgrade All Buildings Tool;;Инструмент улучшения всех зданий;;;;;;;
gui/hud/building_description/upgrade_full_map_tool;This tool allows Mr. Riggs to enter building upgrade mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/upgrade_full_map_picker_tool;Building to Upgrade Picker Tool;;Инструмент выбора здания на улучшение;;;;;;;
gui/hud/building_description/upgrade_full_map_picker_tool;This tool allows you to select building to upgrade.;;Этот инструмент позволяет выбрать здание на улучшение.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/upgrade_full_map_upgrader_tool;Upgrade All Picked Buildings Tool;;Инструмент улучшения всех определенных зданий;;;;;;;
gui/hud/building_description/upgrade_full_map_upgrader_tool;This tool allows Mr. Riggs to enter building upgrade mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all picked buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все определенные постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/upgrade_full_map_cat_picker_tool;Building Category to Upgrade Picker Tool;;Инструмент выбора категории зданий на улучшение;;;;;;;
gui/hud/building_description/upgrade_full_map_cat_picker_tool;This tool allows you to select building category to upgrade.;;Этот инструмент позволяет выбрать категорию зданий на улучшение.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/upgrade_full_map_cat_upgrader_tool;Upgrade Building Category Tool;;Инструмент улучшения всех зданий по категории;;;;;;;
gui/hud/building_description/upgrade_full_map_cat_upgrader_tool;This tool allows Mr. Riggs to enter building upgrade mode. While it's active, Mr. Riggs will apply the next available level of upgrades to all buildings of the category over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки категории на всей карте до следующего доступного уровня.;;;;;;;
