;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/vents_preserve;Vents Preserve Tool;;Инструмент Сохранения Источников;;;;;;;
gui/hud/building_description/vents_preserve;This tool allows you to preserve selected Vents.;;Этот инструмент позволяет сохранять выбранные Источники.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/vents_respawn;Vents Respawn Tool;;Инструмент Восстановления Источников;;;;;;;
gui/hud/building_description/vents_respawn;This tool allows you to Respawn Vent at selected point.;;Этот инструмент позволяет восстановить Источник в указанной точке.;;;;;;;
;;;;;;;;;;
gui/hud/vents_tools/no_stored_vents;No Saved Vents.\nUse Vents Preserve Tool.;;Нет сохраненных Источников.\nИспользуйте Инструмент Сохранения Источников.;;;;;;;
;;;;;;;;;;
gui/hud/vents_tools/unlimited;Unlimited;;Бесконечно;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
