;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/replace_wall_gate_to_energy_tool;Replace Selected Gates with Energy Gates;;Заменить все выделенные стены на Энергетические;;;;;;;
gui/hud/building_description/replace_wall_gate_to_energy_tool;This tool allows you to replace all selected gates with Energy Gates.;;Этот инструмент позволяет заменить все выделенные стены на Энергетические.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_to_crystal_tool;Replace Selected Gates with Crystal Gates;;Заменить все выделенные стены на Кристаллические;;;;;;;
gui/hud/building_description/replace_wall_gate_to_crystal_tool;This tool allows you to replace all selected gates with Crystal Gates.;;Этот инструмент позволяет заменить все выделенные стены на Кристаллические.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_to_small_tool;Replace Selected Gates with Wall Gates;;Заменить все выделенные стены на Базовые;;;;;;;
gui/hud/building_description/replace_wall_gate_to_small_tool;This tool allows you to replace all selected gates with Wall Gates.;;Этот инструмент позволяет заменить все выделенные стены на Базовые.;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_wall_gate_tool/gates_not_available;Gates are not available for construction.;;Стены не доступны для постройки.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_all_picker_tool;Gate Type Picker Tool;;Инструмент выбора типа стен;;;;;;;
gui/hud/building_description/replace_wall_gate_all_picker_tool;This tool allows you to select Gate Type to replace all gates.;;Этот инструмент позволяет выбрать тип стен для замены всех стен.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_all_replacer_tool;Replace All Selected Gates with Picked Gate Type;;Заменить все выделенные стены на выбранный тип стены;;;;;;;
gui/hud/building_description/replace_wall_gate_all_replacer_tool;This tool allows you to replace all selected gates with Picked Gate Type.;;Этот инструмент позволяет заменить все выделенные стены на выбранный тип стены.;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_wall_gate_tool/wall_gate_not_selected;Use Gate Type Picker Tool.;;Используйте инструмент выбора типа стен.;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_wall_gate_tool/wall_gate_1_not_selected;Use Gate Type 1\nPicker Tool.;;Используйте инструмент\nвыбора типа стен 1.;;;;;;;
gui/hud/messages/replace_wall_gate_tool/wall_gate_2_not_selected;Use Gate Type 2\nPicker Tool.;;Используйте инструмент\nвыбора типа стен 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_picker_1_tool;Gate Type 1 Picker Tool;;Инструмент выбора типа стен 1;;;;;;;
gui/hud/building_description/replace_wall_gate_picker_1_tool;This tool allows you to select Gate Type 1.;;Этот инструмент позволяет выбрать тип стен 1.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_picker_2_tool;Gate Type 2 Picker Tool;;Инструмент выбора типа стен 2;;;;;;;
gui/hud/building_description/replace_wall_gate_picker_2_tool;This tool allows you to select Gate Type 2.;;Этот инструмент позволяет выбрать тип стен 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_replacer_from_1_to_2_tool;Replace Selected Gates Type 1 with Type 2;;Заменить все выделенные стены типа 1 на тип 2;;;;;;;
gui/hud/building_description/replace_wall_gate_replacer_from_1_to_2_tool;This tool allows you to replace all selected Gates Type 1 with Type 2.;;Этот инструмент позволяет заменить все выделенные стены типа 1 на тип 2.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/replace_wall_gate_replacer_from_2_to_1_tool;Replace Selected Gates Type 2 with Type 1;;Заменить все выделенные стены типа 2 на тип 1;;;;;;;
gui/hud/building_description/replace_wall_gate_replacer_from_2_to_1_tool;This tool allows you to replace all selected Gates Type 2 with Type 1.;;Этот инструмент позволяет заменить все выделенные стены типа 2 на тип 1.;;;;;;;
