;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/wall_area_tool;Wall Area Tool;;Инструмент постройки стен на области;;;;;墙体构型工具-密集型;;
gui/hud/building_description/wall_area_tool;This tool allows you to build walls on a selected area.;;Этот инструмент позволяет строить стены на выделенной области.;;;;;这个工具允许建造密集型的墙体阵列.;;
;;;;;;;;;;
gui/hud/building_name/wall_borders_tool;Wall Borders Tool;;Инструмент постройки стен на границах области;;;;;墙体构型工具-方框型;;
gui/hud/building_description/wall_borders_tool;This tool allows you to build walls on the borders of a selected area.;;Этот инструмент позволяет строить стены на границах выделенной области.;;;;;这个工具允许玩家建造方框型的墙体阵列.;;
;;;;;;;;;;
gui/hud/building_name/wall_diagonal_tool;Wall Diagonal Tool;;Инструмент постройки диагональных стен;;;;;墙体构型工具-斜线型;;
gui/hud/building_description/wall_diagonal_tool;This tool allows you to build diagonal walls.;;Этот инструмент позволяет строить диагональные стены.;;;;;这个工具允许玩家拉斜线来构建墙体阵列.;;
;;;;;;;;;;
gui/hud/building_name/wall_obstacles_tool;Wall Obstacles Tool;;Инструмент постройки препятстий из стен;;;;;墙体构型工具-壕沟型;;
gui/hud/building_description/wall_obstacles_tool;This tool allows you to build obstacles from walls.;;Этот инструмент позволяет строить препятстия из стен.;;;;;这个工具允许玩家建造壕沟型的墙体阵列.;;
;;;;;;;;;;
gui/hud/building_name/wall_obstacles_stairs_tool;Wall Obstacles and Heightened Wall Floor Tool;;Инструмент постройки препятстий из стен и поднятых полов;;;;;墙体构型工具-带加高地板壕沟型;;
gui/hud/building_description/wall_obstacles_stairs_tool;This tool allows you to build obstacles from walls and heightened wall Floor floors between them.;;Этот инструмент позволяет строить препятстия из стен и поднятые полы между ними.;;;;;这个工具允许玩家建造带加高地板壕沟型的墙体阵列.;;
;;;;;;;;;;
gui/hud/building_name/wall_thorns_tool;Wall Thorns Tool;;Инструмент постройки стен-шипов;;;;;墙体构型工具-跨栏型;;
gui/hud/building_description/wall_thorns_tool;This tool allows you to build thorns walls.;;Этот инструмент позволяет строить стены-шипы.;;;;;这个工具允许玩家以跨栏的样式构建墙体阵列.;;
;;;;;;;;;;
gui/hud/building_name/wall_pencil_tool;Wall Pencil Tool;;Инструмент-карандаш для постройки стен;;;;;墙体构型工具-自由型;;
gui/hud/building_description/wall_pencil_tool;This tool allows you to build walls of any shape.;;Этот инструмент позволяет строить стены любой формы.;;;;;这个工具允许玩家建造自由型状的墙体阵列.;;
