;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/replace_wall_to_energy_tool;Replace Selected Walls with Energy Walls;;Заменить все выделенные стены на Энергетические;;;;;用能量墙替换选定的墙;選択した壁をエネルギーウォールに置き換えます;
gui/hud/building_description/replace_wall_to_energy_tool;This tool allows you to replace all selected walls with Energy Walls.;;Этот инструмент позволяет заменить все выделенные стены на Энергетические.;;;;;此工具允许玩家用能量墙替换选定的墙.;このツールを使用すると、選択した壁をエネルギーウォールに置き換えることができます;
;;;;;;;;;;
gui/hud/building_name/replace_wall_to_crystal_tool;Replace Selected Walls with Crystal Walls;;Заменить все выделенные стены на Кристаллические;;;;;用水晶墙替换选定的墙;選択した壁をクリスタルウォールに置き換えます;
gui/hud/building_description/replace_wall_to_crystal_tool;This tool allows you to replace all selected walls with Crystal Walls.;;Этот инструмент позволяет заменить все выделенные стены на Кристаллические.;;;;;此工具允许玩家用水晶墙替换选定的墙.;このツールを使用すると、選択した壁をクリスタルウォールに置き換えることができます;
;;;;;;;;;;
gui/hud/building_name/replace_wall_to_small_tool;Replace Selected Walls with Basic Walls;;Заменить все выделенные стены на Базовые;;;;;用基础墙替换选定的墙;選択した壁を基礎的な壁に置き換えます;
gui/hud/building_description/replace_wall_to_small_tool;This tool allows you to replace all selected walls with Basic Walls.;;Этот инструмент позволяет заменить все выделенные стены на Базовые.;;;;;此工具允许玩家用基础墙替换选定的墙.;このツールを使用すると、プレーヤーは選択した壁を基礎的な壁に置き換えることができます。;
;;;;;;;;;;
gui/hud/building_name/replace_wall_to_vine_tool;Replace Selected Walls with Vine Walls;;Заменить все выделенные стены на стены из лиан;;;;;;;
gui/hud/building_description/replace_wall_to_vine_tool;This tool allows you to replace all selected walls with Vine Walls.;;Этот инструмент позволяет заменить все выделенные стены на стены из лиан.;;;;;;;
;;;;;;;;;;
gui/hud/messages/replace_wall_tool/walls_not_available;Walls are not available for construction.;;Стены не доступны для постройки.;;;;;不能替换为科技树未研究的墙.;技術ツリーで研究されていない壁に置き換えることはできません;
;;;;;;;;;;
gui/hud/building_name/replace_wall_all_picker_tool;Wall Type Picker Tool;;Инструмент выбора типа стен;;;;;墙壁类型选择工具;壁タイプ選択ツール;
