;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/upgrade_name/drone_weaponize_equipment;Geoscanner Equipment;;Оборудование для геосканирования;;;;;;;
;;;;;;;;;;
gui/menu/inventory/upgrade_description/drone_weaponize_equipment;This upgrade adds a hitpoint to forcefield, a speed bonus and a Geoscanner Drone to Mr Riggs.;;Это улучшение дает силовому полю бонус очков здоровья, ускорение и дрон для геосканирования мистеру Ригзу.;;;;;;;
;;;;;;;;;;
gui/menu/research/category_drone_weaponize;Scanner Drones;;Сканирующие Дроны;;;;;;;
;;;;;;;;;;
gui/menu/research/name/drone_weaponize_equipment_standard;Geoscanner Equipment - Standard;;Оборудование для геосканирования - Стандартно;;;;;;;
gui/menu/research/name/drone_weaponize_equipment_advanced;Geoscanner Equipment - Advanced;;Оборудование для геосканирования - Улучшено;;;;;;;
gui/menu/research/name/drone_weaponize_equipment_superior;Geoscanner Equipment - Superior;;Оборудование для геосканирования - Превосходно;;;;;;;
gui/menu/research/name/drone_weaponize_equipment_extreme;Geoscanner Equipment - Extreme;;Оборудование для геосканирования - Экстремально;;;;;;;
;;;;;;;;;;
gui/menu/research/description/drone_weaponize_equipment_standard;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;;;
gui/menu/research/description/drone_weaponize_equipment_advanced;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;;;
gui/menu/research/description/drone_weaponize_equipment_superior;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;;;
gui/menu/research/description/drone_weaponize_equipment_extreme;These modules can be installed in one of the Mecha-Suit upgrade slots. They contain instructions and programs that alter the Mecha-Suits behavior and abilities. These modules all have unique properties and can be used interchangeably with each other.;;Эти модули могут быть установлены в один из слотов для улучшения меха-костюма. Они содержат инструкции и программы, которые изменяют поведение и способности меха-костюма. Все эти модули обладают уникальными свойствами и могут быть использованы как взаимозаменяемые.;;;;;;;
