;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_description/compressors_resources_picker_tool;This tool allows you to copy a resource from the selected cultivator to place it in another cultivator.;;Этот инструмент позволяет скопировать из выбранного культиватора растение для помещения его в другой культиватор.;;;;;;;
gui/hud/building_name/compressors_resources_picker_tool;Compressor Resource Picker Tool;;Получить растение культиватора;;;;;;;
;;;;;;;;;;
gui/hud/building_description/compressors_resources_replacer_tool;This tool allows you to replace a resource in selected cultivators with a copied resource from another cultivator.;;Этот инструмент позволяет заменить растение в выбранных культиваторах на скопированное растение из другого культиватора.;;;;;;;
gui/hud/building_name/compressors_resources_replacer_tool;Decompressor Resource Replacer Tool;;Вставить растение в культиватор;;;;;;;
;;;;;;;;;;
gui/hud/building_description/compressors_resources_replacer_all_tool;This tool allows you to replace a resource in all cultivators with a copied resource from another cultivator.;;Этот инструмент позволяет заменить растение во всех культиваторах на скопированное растение из другого культиватора.;;;;;;;
gui/hud/building_name/compressors_resources_replacer_all_tool;All Decompressors Resource Replacer Tool;;Вставить растение во все культиваторы;;;;;;;
;;;;;;;;;;
gui/hud/compressors_resources_tools/last_resource;Use Last;;Использовать Последнее;;;;;;;
;;;;;;;;;;
gui/hud/compressors_resources_tools/current_resource;Current:;;Текущее:;;;;;;;
;;;;;;;;;;
gui/hud/compressors_resources_tools/replace_all_decompressors;Replace Resource in All Decompressors?;;Заменить растение во всех культиваторах?;;;;;;;
