;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
voice_over/announcement/quick_equipment_mode_save;<style="header_35">Save!</style> Equipment Hotkeys Mode;;;;;;;;;
voice_over/announcement/quick_equipment_mode_load;Equipment Hotkeys Mode Changed to <style="header_35">Load!</style>;;;;;;;;;
;;;;;;;;;;
quick_equipment_slots_change/configs/name/QuickConfig1;Quick Configuration 1;;;;;;;;;
quick_equipment_slots_change/configs/name/QuickConfig2;Quick Configuration 2;;;;;;;;;
quick_equipment_slots_change/configs/name/QuickConfig3;Quick Configuration 3;;;;;;;;;
;;;;;;;;;;
voice_over/announcement/quick_equipment_slots_change/saving;Saving;;;;;;;;;
voice_over/announcement/quick_equipment_slots_change/saving_to; to;;;;;;;;;
voice_over/announcement/quick_equipment_slots_change/saving_end;!;;;;;;;;;
;;;;;;;;;;
voice_over/announcement/quick_equipment_slots_change/confirming;Are you sure you want to save;;;;;;;;;
voice_over/announcement/quick_equipment_slots_change/confirming_to; to;;;;;;;;;
voice_over/announcement/quick_equipment_slots_change/confirming_end;?;;;;;;;;;
;;;;;;;;;;
quick_equipment_slots_change/slots/usable;Consumables and Skills;;;;;;;;;
quick_equipment_slots_change/slots/upgrade;Upgrades;;;;;;;;;
quick_equipment_slots_change/slots/weapon;Weapons;;;;;;;;;
quick_equipment_slots_change/slots/dash_skill;Dash Skill;;;;;;;;;
;;;;;;;;;;
voice_over/announcement/load/success/quick_usable_1;Consumables and Skills from Quick Configuration 1 Loaded!;;;;;;;;;
voice_over/announcement/load/success/quick_usable_2;Consumables and Skills from Quick Configuration 2 Loaded!;;;;;;;;;
voice_over/announcement/load/success/quick_usable_3;Consumables and Skills from Quick Configuration 3 Loaded!;;;;;;;;;
;;;;;;;;;;
voice_over/announcement/load/fail/quick_usable_1;Failed to Load Consumables and Skills from Quick Configuration 1!;;;;;;;;;
voice_over/announcement/load/fail/quick_usable_2;Failed to Load Consumables and Skills from Quick Configuration 2!;;;;;;;;;
voice_over/announcement/load/fail/quick_usable_3;Failed to Load Consumables and Skills from Quick Configuration 3!;;;;;;;;;
;;;;;;;;;;
voice_over/announcement/load/invalid/quick_usable_1;Invalid Consumables and Skills Quick Configuration 1!;;;;;;;;;
voice_over/announcement/load/invalid/quick_usable_2;Invalid Consumables and Skills Quick Configuration 2!;;;;;;;;;
voice_over/announcement/load/invalid/quick_usable_3;Invalid Consumables and Skills Quick Configuration 3!;;;;;;;;;
;;;;;;;;;;
voice_over/announcement/load/empty/quick_usable_1;Empty Consumables and Skills Quick Configuration 1!;;;;;;;;;
voice_over/announcement/load/empty/quick_usable_2;Empty Consumables and Skills Quick Configuration 2!;;;;;;;;;
voice_over/announcement/load/empty/quick_usable_3;Empty Consumables and Skills Quick Configuration 3!;;;;;;;;;
;;;;;;;;;;
voice_over/announcement/load/success/quick_upgrade_1;Upgrades from Quick Configuration 1 Loaded;;;;;;;;;
