;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
;;;;;;;;;;
gui/hud/building_name/store_resources_carbonium;Store Carbonium Tool;;Инструмент сохранения ресурсов;;;;;;;
gui/hud/building_description/store_resources_carbonium;This tool allows you to store Carbonium.;;Этот инструмент позволяет сохранять карбониум.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/store_resources_steel;Store Ironium Tool;;Инструмент сохранения ресурсов;;;;;;;
gui/hud/building_description/store_resources_steel;This tool allows you to store Ironium.;;Этот инструмент позволяет сохранять карбониум.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/store_resources_cobalt;Store Cobalt Tool;;Инструмент сохранения ресурсов;;;;;;;
gui/hud/building_description/store_resources_cobalt;This tool allows you to store Cobalt.;;Этот инструмент позволяет сохранять карбониум.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/store_resources_palladium;Store Palladium Tool;;Инструмент сохранения ресурсов;;;;;;;
gui/hud/building_description/store_resources_palladium;This tool allows you to store Palladium.;;Этот инструмент позволяет сохранять карбониум.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/store_resources_titanium;Store Titanium Tool;;Инструмент сохранения ресурсов;;;;;;;
gui/hud/building_description/store_resources_titanium;This tool allows you to store Titanium.;;Этот инструмент позволяет сохранять карбониум.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/store_resources_uranium_ore;Store Crude uranium Tool;;Инструмент сохранения ресурсов;;;;;;;
gui/hud/building_description/store_resources_uranium_ore;This tool allows you to store Crude uranium.;;Этот инструмент позволяет сохранять карбониум.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/store_resources_uranium;Store Uranium Tool;;Инструмент сохранения ресурсов;;;;;;;
gui/hud/building_description/store_resources_uranium;This tool allows you to store Uranium.;;Этот инструмент позволяет сохранять карбониум.;;;;;;;
;;;;;;;;;;
