;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/alien_tower_plasma;Alien Plasma Tower;;;;;;;;;
gui/hud/building_description/alien_tower_plasma;Ultimate defense for your base!;;;;;;;;;
;;;;;;;;;;
gui/hud/building_name/alien_tower_artillery;Alien Artillery Tower;;;;;;;;;
gui/hud/building_description/alien_tower_artillery;Ultimate defense for your base!;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/alien_tower_plasma;X-Morph Plasma Tower;;;;;;;;;
gui/menu/research/description/alien_tower_plasma;This research grants X-Morph Plasma Tower and adds them to the build menu.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/name/alien_tower_artillery;X-Morph Artillery Tower;;;;;;;;;
gui/menu/research/description/alien_tower_artillery;This research grants X-Morph Artillery Tower and adds them to the build menu.;;;;;;;;;
;;;;;;;;;;
gui/menu/research/category_xmorph_towers;X-Morph Towers;;;;;;;;;
